"participante","condicion","escala","secuencia","duracion","corto","largo","largo_p"
2,"Aleatoria","B",3,1050,18,2,0.1
2,"Aleatoria","B",3,1088,15,5,0.25
2,"Aleatoria","B",3,1125,13,7,0.35
2,"Aleatoria","B",3,1163,9,11,0.55
2,"Aleatoria","B",3,1200,6,14,0.7
2,"Aleatoria","B",4,900,19,1,0.05
2,"Aleatoria","B",4,937,14,6,0.3
2,"Aleatoria","B",4,975,14,6,0.3
2,"Aleatoria","B",4,1012,18,2,0.1
2,"Aleatoria","B",4,1050,14,6,0.3
2,"Aleatoria","B",4,1088,13,7,0.35
2,"Aleatoria","B",4,1125,11,9,0.45
2,"Aleatoria","B",4,1163,3,17,0.85
2,"Aleatoria","B",4,1200,3,17,0.85
2,"Aleatoria","B",5,900,19,1,0.05
2,"Aleatoria","B",5,937,20,0,0
2,"Aleatoria","B",5,975,18,2,0.1
2,"Aleatoria","B",5,1012,15,5,0.25
2,"Aleatoria","B",5,1050,16,4,0.2
2,"Aleatoria","B",5,1088,11,9,0.45
2,"Aleatoria","B",5,1125,11,9,0.45
2,"Aleatoria","B",5,1163,7,13,0.65
2,"Aleatoria","B",5,1200,2,18,0.9
2,"Bloque","B",3,900,19,1,0.05
2,"Bloque","B",3,937,19,1,0.05
2,"Bloque","B",3,975,17,3,0.15
2,"Bloque","B",3,1012,17,3,0.15
2,"Bloque","B",3,1050,18,2,0.1
2,"Bloque","B",3,1088,15,5,0.25
2,"Bloque","B",3,1125,12,8,0.4
2,"Bloque","B",3,1163,4,16,0.8
2,"Bloque","B",3,1200,6,14,0.7
2,"Bloque","B",4,900,17,3,0.15
2,"Bloque","B",4,937,18,2,0.1
2,"Bloque","B",4,975,19,1,0.05
2,"Bloque","B",4,1012,17,3,0.15
2,"Bloque","B",4,1050,16,4,0.2
2,"Bloque","B",4,1088,16,4,0.2
2,"Bloque","B",4,1125,7,13,0.65
2,"Bloque","B",4,1163,6,14,0.7
2,"Bloque","B",4,1200,1,19,0.95
2,"Bloque","B",5,900,19,1,0.05
2,"Bloque","B",5,937,20,0,0
2,"Bloque","B",5,975,20,0,0
2,"Bloque","B",5,1012,19,1,0.05
2,"Bloque","B",5,1050,18,2,0.1
2,"Bloque","B",5,1088,14,6,0.3
2,"Bloque","B",5,1125,7,13,0.65
2,"Bloque","B",5,1163,3,17,0.85
2,"Bloque","B",5,1200,3,17,0.85
2,"Aleatoria","C",3,1200,17,3,0.15
2,"Aleatoria","C",3,1250,15,5,0.25
2,"Aleatoria","C",3,1300,17,3,0.15
2,"Aleatoria","C",3,1350,16,4,0.2
2,"Aleatoria","C",3,1400,17,3,0.15
2,"Aleatoria","C",3,1450,18,2,0.1
