"tonos","correctas","respuesta","correcto","RT","date","frameRate","expName","session","participant","n_participante","condiciones","escal","duraciones"
"tonos/5_63me_A.wav","s","s",1,1.785479069,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",812
"tonos/5_63ma_A.wav","l","s",0,2.35285902,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",938
"tonos/5_125me_A.wav","s","s",1,1.16868186,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",750
"tonos/5_188me_A.wav","s","s",1,4.018078089,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",687
"tonos/5_188ma_A.wav","l","l",1,1.384601116,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1063
"tonos/5_0_A.wav","l, s","s",0,2.202333927,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",875
"tonos/5_63me_A.wav","s","s",1,36.70134306,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",812
"tonos/5_250ma_A.wav","l","l",1,1.518220901,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1125
"tonos/5_250me_A.wav","s","s",1,1.202713013,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",625
"tonos/5_125ma_A.wav","l","l",1,0.885843992,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1000
"tonos/5_63ma_A.wav","l","s",0,2.101139069,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",938
"tonos/5_250me_A.wav","s","s",1,0.769731998,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",625
"tonos/5_188me_A.wav","s","s",1,1.301167965,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",687
"tonos/5_188ma_A.wav","l","l",1,0.85107708,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1063
"tonos/5_125ma_A.wav","l","l",1,1.151288033,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1000
"tonos/5_63me_A.wav","s","l",0,1.917966843,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",812
"tonos/5_250ma_A.wav","l","l",1,0.918348074,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1125
"tonos/5_125me_A.wav","s","s",1,1.86824894,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",750
"tonos/5_0_A.wav","l, s","l",0,1.802002907,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",875
"tonos/5_188ma_A.wav","l","l",1,1.30212903,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1063
"tonos/5_0_A.wav","l, s","l",0,1.468210936,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",875
"tonos/5_63ma_A.wav","l","l",1,2.435678959,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",938
"tonos/5_63me_A.wav","s","l",0,1.935789108,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",812
