Estado,101,102,103,104,105,106,107,108,109,110,111,112,201,202,203,204,205,206,207,208,209,210,301,302,303,304,305,306,307,308
AGUASCALIENTES,0.588465757,0.63603344,0.622911056,0.547239528,0.557982896,0.56726183,0.618582337,0.607622104,0.498733581,0.594682179,0.612997862,0.522143818,0.68806896,0.649659689,0.648856352,0.61545485,0.682694397,0.525354195,0.683470827,0.64824149,0.681665005,0.691103191,0.608611942,0.595969247,0.619735139,0.5252817,0.609265312,0.556756274,0.491860693,0.494864795
BAJA CALIFORNIA,0.560357472,0.609853522,0.595944077,0.518012641,0.542030651,0.548049083,0.599354071,0.587657664,0.464959574,0.574384539,0.589185735,0.51835958,0.649892766,0.630322633,0.623507723,0.599760061,0.659506625,0.51727962,0.658295543,0.629669533,0.652452737,0.668596561,0.606693566,0.590500009,0.618755029,0.5247247,0.610064485,0.547646398,0.490086805,0.493254356
BAJA CALIFORNIA SUR,0.552260053,0.602992569,0.590969536,0.505427539,0.527298891,0.537873254,0.591876705,0.5810114,0.466215723,0.575528061,0.574997766,0.515460607,0.610992371,0.61083724,0.601840358,0.585783502,0.636110654,0.514910324,0.638949138,0.616940549,0.624940017,0.645484712,0.587602262,0.577072912,0.602002466,0.504948927,0.594252673,0.54452679,0.467454018,0.483675379
CAMPECHE,0.552687114,0.60363753,0.592991581,0.50715562,0.526499615,0.537642234,0.590135816,0.567538124,0.445943669,0.568071514,0.576317517,0.508895299,0.61257966,0.597976778,0.593266943,0.574365023,0.629846479,0.498606303,0.635903799,0.608447111,0.613374743,0.643623262,0.598985283,0.585701813,0.610388311,0.517449946,0.600969655,0.539709064,0.48175495,0.488013418
COAHUILA,0.580762811,0.625116408,0.612712863,0.535774994,0.551201134,0.558794356,0.610719697,0.602332246,0.480052308,0.583856122,0.599420424,0.523600098,0.653917531,0.624539938,0.63095384,0.599046371,0.665046873,0.515418819,0.666416294,0.638543344,0.648914628,0.675112056,0.604928088,0.590612426,0.616654069,0.522116714,0.607702457,0.548689668,0.493264113,0.501666471
COLIMA,0.586719076,0.631582871,0.619247366,0.545891386,0.560956173,0.572542528,0.618899849,0.606635176,0.504551314,0.590750084,0.615186703,0.523034452,0.686452998,0.659139522,0.654763652,0.619149484,0.691909721,0.531320414,0.683686686,0.646131633,0.687062854,0.694404192,0.622835838,0.608818651,0.637038467,0.535391444,0.624991093,0.565414962,0.519827142,0.514937163
CHIAPAS,0.54975527,0.611845522,0.60300627,0.515869659,0.529523398,0.541721109,0.604226433,0.573603129,0.44165153,0.583835536,0.584579502,0.524404139,0.59297563,0.605713982,0.603305775,0.588774941,0.636588411,0.520131677,0.633080184,0.6037446,0.600999007,0.645020014,0.610366984,0.59903926,0.623762656,0.53303761,0.614917718,0.559275243,0.491166289,0.493073121
CHIHUAHUA,0.560219851,0.610462212,0.59681615,0.51723682,0.534035417,0.544443834,0.593757354,0.586247107,0.466487403,0.572784156,0.583822523,0.518926773,0.599167723,0.598086609,0.600665462,0.577121341,0.627327363,0.504264439,0.630791745,0.608237607,0.608052998,0.638212008,0.583337781,0.575055747,0.599924047,0.49745833,0.590143688,0.542653994,0.470093575,0.485687939
DISTRITO FEDERAL,0.623599472,0.660997887,0.647837668,0.587043804,0.600250601,0.610298137,0.646041185,0.639999762,0.541140918,0.617370244,0.647386059,0.543455248,0.707259836,0.670799471,0.672348572,0.642480219,0.706136218,0.548597323,0.703187712,0.664616138,0.694363899,0.70973473,0.628540825,0.613975083,0.641047235,0.553462885,0.630301443,0.566690465,0.531528701,0.513148595
