Folio,Género,Edad,Escuela,ImF1,ImF2,ImF3,ImF4,ImF5,ImF6,ImF7,ImF8,ImF9,ImF10,ImF11,ImF12,ImF13,ImF14,ImF15,ImF16,ImF17,ImF18,ImF19,ImF20,ImT21,ImT22,ImT23,ImT24,ImT25,ImT26,ImT27,ImT28,ImT29,ImT30,ImT31,ImT32,ImT33,ImT34,ImT35,ImT36,ImT37,ImT38,ImT39,ImT40,ImD41,ImD42,ImD43,ImD44,ImD45,ImD46,ImD47,ImD48,ImD49,ImD50,ImD51,ImD52,ImD53,ImD54,ImD55,ImD56,ImD57,ImD58,ImD59,ImD60,ThetaImFin,ThetaImTra,ThetaImRisk,ThetaImRen,ThetaImCom,ThetaTenFin,ThetaTenCom,ThetaTenRen,ThetaTenRisk,ThetaTenTra,ThetaDañCom,ThetaDañRen,ThetaDañRisk
1,0,3,1,3,2,3,1,0,3,2,2,3,3,0,0,0,1,2,1,0,3,0,2,3,1,3,0,0,2,1,2,2,1,0,1,0,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,-1.1161851,.42598125,.32130483,.89270037,1.6678367,-1.3141685,.91269797,.59561199,1.8808047,-.15791251,2.0206099,1.0827112,.85373992
2,0,2,1,2,1,2,2,1,3,2,1,2,2,1,2,2,0,2,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,3,3,.38735187,.38538423,.42923003,.060945131,.55110204,-1.3141685,-.3978422,-1.3074093,-1.0454186,-.54590893,.12732689,.16248384,.85373992
3,1,1,1,0,0,1,1,0,1,3,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,2,1,3,0,1,3,2,1,3,3,3,1,3,1,3,1,3,2,3,3,3,-.74064142,-.96685815,.10930122,-1.3669701,-1.5810968,-.69204277,-.72404402,-1.3074093,.3986389,-.84079105,-.010542162,.80706733,.29332697
4,1,3,1,3,0,2,0,1,2,0,0,2,3,1,3,0,0,3,0,0,0,1,0,2,1,1,0,1,1,3,1,2,3,1,3,0,1,3,1,3,0,2,0,1,3,1,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,-.60817236,1.7746874,-.052720841,-1.3669701,.28462625,-.30711767,.060674738,.13861448,.60718822,1.9080421,-.41261625,1.8356935,.85373992
5,1,2,1,1,2,2,1,2,0,3,2,1,3,1,3,2,3,3,3,1,0,1,2,1,2,3,2,2,,,2,2,2,2,0,2,1,2,2,0,0,1,2,0,3,1,3,3,0,3,3,1,3,2,3,2,3,3,3,3,3,3,3,.40091708,1.7746874,.39532831,1.2893863,-1.2849237,.92632848,.44703943,1.0499284,.18250972,.31567785,-1.0961186,1.8356935,.85373992
6,1,2,1,1,0,1,2,0,0,2,0,0,1,2,1,1,0,1,0,1,1,1,0,0,0,1,2,1,0,1,0,0,1,1,0,2,0,1,0,1,1,1,0,0,2,0,1,1,1,1,2,2,1,1,1,1,1,2,1,3,3,3,3,.10894707,-.69657743,.47098151,-1.3669701,-1.9304012,.52110779,-1.3203321,-1.3074093,.31950828,-.44072965,-.92176819,-.17942816,.85373992
7,0,2,1,2,2,1,2,2,1,3,2,2,3,2,3,2,1,3,3,0,0,0,0,2,2,2,2,2,1,3,2,2,3,2,3,3,1,2,2,2,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,2,1,1,2,2,2,2,.89297241,1.7746874,-.99547136,1.2893863,-.59237444,1.0817008,.25633797,1.0499284,.30880886,1.3606958,-1.9852479,-1.012532,-.7332114
8,0,2,1,3,2,3,1,1,3,3,1,3,3,2,3,1,3,2,1,2,1,1,0,2,1,3,3,3,3,3,2,3,2,3,3,3,2,2,2,3,2,2,0,1,3,1,2,3,2,2,3,2,3,3,3,3,3,2,3,3,3,2,3,.12734142,1.1680012,.54306769,.42391449,1.6678367,2.0837901,1.2910428,.84348106,.98427027,.9877252,.12732689,1.0891273,-.24440581
9,1,1,1,3,1,3,2,1,3,1,1,3,1,1,0,0,0,1,2,0,2,1,2,1,1,1,0,0,3,2,2,3,1,0,3,0,0,2,2,2,2,2,3,1,3,1,2,1,1,1,2,3,3,1,2,1,2,2,3,2,3,3,3,-.046749178,-.95758206,.67848825,.26141039,1.6678367,-1.3141685,.53251648,.84348106,1.1773404,.69796032,-.058889568,.61750084,.29332697
10,0,2,1,2,3,1,1,1,1,3,2,1,3,1,2,1,0,3,2,0,0,0,0,3,3,1,1,1,1,2,3,3,3,2,3,1,1,3,3,0,1,0,1,1,1,1,2,3,2,3,3,3,3,2,3,2,2,3,3,3,3,2,3,-.097380191,1.3001554,-.99547136,1.4567695,-.89935899,.30900553,.46590585,2.1275382,-.1484828,1.9080421,.31495366,1.3250932,-.24440581
11,0,2,1,2,1,1,2,2,2,0,1,2,1,2,1,2,0,1,1,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,.89297241,-.69657743,-.99547136,.060945131,-.12134644,.13391142,-.18444543,.13861448,-1.0454186,-.15791251,.12732689,.27994195,.85373992
12,1,2,1,2,0,3,2,2,1,3,1,2,3,1,3,2,1,3,1,1,0,0,0,1,1,2,0,0,0,2,0,2,2,1,2,1,1,1,0,0,0,0,0,0,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,.65632522,1.7746874,-.52927154,-.33629614,-.063368671,-.4089404,-.18121405,-.78059703,-1.0454186,.41420463,.38389868,1.8356935,.85373992
13,0,1,1,1,0,1,3,1,1,2,1,1,2,2,2,2,0,2,1,0,1,1,0,3,1,1,3,1,0,0,1,1,0,1,2,1,1,1,1,1,2,2,0,1,2,1,1,2,2,1,1,2,1,0,1,1,3,1,0,2,2,2,3,.86561483,.38538423,.3150138,-.33629614,-1.1063514,.47127461,-.33246803,.13861448,.81577605,-.18547791,.12732689,-.73799056,-.63401598
14,0,1,1,2,1,3,3,2,3,3,1,3,3,3,3,3,2,3,2,0,1,2,1,3,1,3,3,3,3,3,2,3,3,3,3,3,1,3,2,1,1,2,0,1,2,1,2,3,1,2,1,2,1,1,1,3,2,2,1,3,3,3,3,1.7051659,1.7746874,.77665484,.26141039,1.286094,2.0837901,1.7652106,.84348106,.66277713,1.9080421,-.2298331,-.25601667,.85373992
15,1,2,1,3,1,2,1,2,3,2,1,3,3,1,3,2,0,3,1,0,3,2,1,3,0,2,1,1,3,2,0,3,1,0,1,1,0,1,1,1,2,2,0,1,2,1,2,2,2,2,2,2,3,3,3,2,3,2,2,3,3,3,2,.40091708,1.7746874,1.1586576,.060945131,1.175627,-.071075402,1.2748878,-.73759902,.81577605,-.15791251,.12732689,.42035609,.19658166
17,1,2,1,1,1,2,1,2,2,3,1,2,3,2,3,2,1,2,2,0,1,2,2,3,2,3,1,2,3,3,2,3,2,2,3,3,1,2,3,1,1,3,2,0,2,1,2,3,1,2,3,2,1,1,1,1,1,1,2,3,2,1,3,.66581827,1.1680012,.87604225,.26141039,-.078076527,.88674462,1.7652106,1.242419,1.2694761,.9877252,-.48835084,.20086528,-.83558685
18,0,1,1,2,2,2,1,0,3,2,2,2,1,0,1,0,0,2,1,0,0,0,0,2,1,2,0,0,2,1,1,2,0,0,1,0,0,1,1,0,0,0,0,1,3,1,3,3,1,1,2,1,3,3,2,2,3,2,2,3,3,3,3,-1.1161851,-.30077508,-.99547136,.89270037,.55110204,-1.3141685,.4715873,.13861448,-1.0454186,-.46417281,-.41261625,.41541225,.85373992
19,1,2,1,1,1,2,2,2,3,1,1,2,1,2,3,1,2,1,0,0,0,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,0,1,0,0,2,0,0,1,0,1,2,0,1,1,1,3,2,0,1,3,1,1,3,3,2,2,.66904998,-.2496208,.46919632,-.1524858,.36106741,.34685326,-.1997651,.82661676,.24792074,-.54590893,-1.6372836,-.47930661,-.40523377
20,0,2,1,2,1,2,1,0,3,1,1,3,2,1,1,0,0,1,1,3,0,1,0,2,1,2,0,1,3,1,1,3,1,1,3,0,0,1,1,3,0,1,0,0,2,1,3,2,2,1,1,3,0,1,2,3,3,1,2,2,3,3,2,-.72029686,-.30347511,.29195902,.060945131,.88185877,-.30711767,.94684547,.13861448,.21066555,.26397517,.085328393,-.51933408,-.050527688
21,0,2,1,1,1,2,3,2,2,2,1,2,3,2,2,2,0,3,1,0,0,1,1,0,1,0,2,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,2,1,1,1,1,2,2,2,2,1,0,1,2,1,1,1,3,3,3,1.1380391,1.3001554,.10930122,.060945131,-.078076527,.58910704,-.88645166,.13861448,.23388515,-.15791251,-.2298331,-.029789455,.19391057
22,0,1,1,2,1,2,2,1,2,2,1,3,2,2,1,1,1,2,1,0,0,0,1,1,1,2,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,3,1,1,3,1,1,3,3,2,2,1,3,2,2,2,3,3,3,3,2,.39118069,.11538603,-.63944167,.060945131,.34200382,-.28945914,-.1997651,-.15581973,.095626466,-.15791251,.043857124,.76155668,.19658166
23,0,2,1,0,2,1,2,2,2,3,1,3,3,1,2,2,2,3,1,0,0,2,0,,,0,3,3,0,3,3,3,0,1,0,3,0,1,1,0,1,2,2,0,3,1,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,.65632522,1.3001554,.29062024,.42391449,-.20964496,1.4882706,-.65248716,1.1096134,.77466851,-.84079105,.085328393,1.8356935,.85373992
24,0,2,1,2,0,3,3,3,3,3,0,3,3,3,3,3,1,3,0,0,1,0,2,2,1,3,3,3,3,3,1,3,3,3,3,3,1,3,1,0,2,0,1,1,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2.2146916,1.7746874,.054485336,-1.3669701,1.286094,2.0837901,1.2910428,.13861448,-.034257624,1.9080421,.66932446,1.8356935,.19658166
25,0,1,1,2,0,3,1,1,3,2,0,2,3,1,2,1,0,2,0,0,0,0,0,2,0,3,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,3,1,3,3,1,2,3,1,2,2,2,3,3,3,3,3,3,3,3,-.097380191,.82388866,-.99547136,-1.3669701,.87887013,-1.3141685,.19866534,-1.3074093,-1.0454186,-.54590893,-.41261625,1.1003683,.85373992
26,0,1,1,2,0,2,0,0,2,1,0,1,2,0,2,1,0,1,0,0,0,0,0,1,1,2,0,0,2,1,1,1,2,0,2,1,0,1,1,0,0,0,1,0,1,0,1,2,1,0,1,2,2,2,0,1,2,1,1,3,3,3,3,-1.11824,-.029092822,-.99547136,-1.3669701,-.16420048,-.75863916,.04665741,.13861448,-.60867023,.41420463,-.92176819,-.71743196,.85373992
27,0,2,1,2,1,3,0,1,2,2,2,2,1,1,2,1,1,2,2,0,0,0,0,2,1,3,1,1,2,2,2,1,0,1,2,2,0,2,2,0,1,1,0,1,2,1,1,1,1,1,2,1,3,1,1,2,2,1,1,3,2,2,3,-.31384182,.012788535,-.99547136,.71610928,.35401827,.30064252,.45904639,.84348106,.19529928,.25688607,-.41261625,-.071983039,-.55057013
28,0,3,1,3,2,3,1,3,3,2,2,3,2,1,3,1,2,2,2,0,3,1,0,3,2,3,2,2,3,3,2,3,2,2,3,2,1,2,2,0,3,3,1,2,3,2,2,2,2,2,3,2,2,2,2,3,1,2,2,3,3,3,3,.26614147,.65682626,.5739553,1.1082047,1.6678367,.92632848,1.7652106,1.0499284,1.4686658,.9877252,.68207657,.65435553,.85373992
29,1,2,1,2,0,3,2,2,1,3,1,3,2,3,2,3,1,2,2,1,0,3,2,1,1,3,2,3,1,3,1,3,2,2,3,3,1,2,1,2,0,3,1,1,2,0,3,3,1,3,2,3,2,3,1,3,3,2,2,3,3,3,2,1.3603638,.38538423,1.1083314,-.13364337,.2482767,1.3358718,.46605432,.13861448,1.0719638,.9877252,-.46738476,.39534894,.19658166
30,0,1,1,1,1,3,2,0,1,2,1,1,3,2,2,0,0,2,1,0,0,0,0,2,0,3,3,3,0,2,1,3,3,3,3,2,2,3,1,1,1,2,1,1,3,2,3,3,2,3,3,3,1,2,1,2,3,3,1,3,3,3,3,-.16274354,.82388866,-.99547136,.060945131,-.65272862,1.6633348,.57925081,-.12802431,.77905738,1.9080421,.66932446,.8052786,.85373992
31,1,1,1,3,1,3,2,1,3,2,1,3,2,1,2,1,1,2,1,0,0,0,1,3,1,3,1,0,2,3,1,2,3,1,3,1,1,3,1,0,0,1,1,1,2,1,2,3,2,2,2,2,2,3,3,3,2,2,2,3,3,3,1,.15372747,.38538423,-.63944167,.060945131,1.6678367,-.13148063,.91269797,.13861448,.095626466,1.9080421,.12732689,.27994195,.086495362
32,1,3,1,3,2,2,2,1,1,3,2,1,3,2,3,3,3,3,2,1,0,1,1,2,1,2,2,2,2,3,1,1,3,1,2,3,1,3,2,1,0,1,0,0,3,0,1,1,0,3,3,1,3,1,3,2,2,3,3,2,3,3,3,.83566821,1.7746874,.30033031,1.1082047,-.46589449,.90313923,.25865552,.39533228,.087347127,1.4275198,-1.6372836,1.8356935,.29332697
33,0,2,1,2,0,2,1,1,2,2,1,2,1,1,2,1,2,2,1,2,0,0,1,1,1,1,0,1,1,2,1,1,0,0,1,0,1,1,2,0,1,0,0,0,1,1,0,1,1,0,1,1,2,1,0,1,1,1,2,2,2,2,2,-.097380191,.012788535,-.2098553,-.33629614,.10194343,-.62992817,-.3978422,.39533228,-.39616859,-.46417281,-.68519527,-.54220337,-.7332114
34,1,2,1,3,1,1,1,2,3,3,1,3,3,2,2,3,1,2,1,0,0,0,2,3,2,2,2,3,3,2,3,3,0,3,2,3,0,2,3,1,0,0,2,1,3,1,3,1,1,1,2,2,3,0,1,1,2,2,2,3,3,3,3,.88990456,.82388866,-.51025838,.060945131,1.0016018,1.6044337,1.2748878,1.7431344,-.2175983,.25688607,-.2298331,.41541225,.85373992
35,0,2,1,3,1,2,0,0,3,2,1,2,1,0,1,0,0,1,1,2,1,1,0,2,1,2,0,0,3,1,1,0,1,0,2,0,1,1,1,3,1,2,0,1,2,1,3,3,2,1,1,2,1,3,1,2,1,3,1,3,3,3,3,-1.6476616,-.69657743,.54306769,.060945131,.78930759,-1.3141685,.30042315,.13861448,.82112688,.098328598,.12732689,-.32445195,.85373992
36,0,3,1,2,1,3,2,1,3,1,1,3,2,1,2,2,1,1,0,2,0,0,0,2,0,2,1,2,1,1,1,2,2,1,1,2,0,1,0,2,0,1,0,0,3,1,3,3,2,2,3,2,1,2,2,3,3,3,3,3,3,3,3,.38735187,-.029092822,-.45788157,-.1524858,1.286094,.54031247,.25633797,-.47638983,.16373016,.15104237,-.10880393,1.0012417,.85373992
37,0,1,1,2,0,2,0,0,1,3,1,2,3,0,3,0,0,3,1,0,0,0,1,1,1,2,0,0,0,3,3,0,2,0,2,0,0,3,2,0,0,0,1,0,3,1,2,3,3,3,3,3,3,1,3,1,1,3,3,3,3,3,3,-1.6476616,1.7746874,-.63944167,-.33629614,-.31930208,-1.3141685,-.77715671,1.2036067,-.60867023,1.0207466,.38389868,1.8356935,.85373992
38,0,1,1,3,2,3,0,1,1,3,2,2,3,0,2,2,0,3,3,0,0,0,0,3,2,3,0,1,1,2,2,2,3,0,2,1,1,2,2,2,0,0,1,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-.38418487,1.3001554,-.99547136,1.2893863,.17483142,-.3355059,.69627273,1.0499284,-.22832024,1.0441043,1.0044407,1.8356935,.85373992
39,0,1,1,2,1,3,2,0,2,1,0,2,2,1,1,1,1,0,0,0,0,0,0,1,2,2,1,1,0,1,2,0,1,1,1,2,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,2,2,2,-.14846925,-.69084215,-.99547136,-.6840384,.35401827,.30064252,-.77715671,.82661676,-.39616859,-.54590893,-1.1308824,-1.047425,-.7991699
40,0,2,1,3,1,3,1,1,3,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1,1,1,1,1,1,2,1,1,0,2,3,3,3,-.63886213,-.5275709,-.99547136,-.6840384,1.1644477,-.62992817,.14412813,-1.3074093,-1.0454186,-.915501,-1.6372836,-.73799056,.29332697
41,0,1,1,2,1,3,1,2,3,2,2,2,1,1,2,1,1,1,1,0,0,1,1,3,2,3,2,1,2,1,1,2,0,1,2,1,0,1,,1,0,1,1,1,2,1,1,3,1,1,2,3,2,2,2,2,2,1,2,3,3,3,3,.13859808,-.43163079,.10930122,.49195027,.87887013,.34685326,.91269797,.42797372,.23388515,-.18547791,-.058889568,-.017886361,.85373992
42,1,2,1,1,0,1,1,0,2,2,0,1,3,0,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,2,0,0,0,0,3,1,2,2,2,2,3,1,3,3,3,3,3,3,3,3,1,1,1,-1.1161851,1.3001554,-.52927154,-.92648959,-.62683851,-1.3141685,-1.8047668,-1.3074093,-.52417642,.41420463,-.30828333,1.3883609,-1.2704241
43,0,3,1,1,2,3,2,2,2,2,2,3,3,2,3,2,1,2,1,2,2,2,0,2,2,3,2,2,3,2,2,3,3,2,2,2,0,2,2,1,2,2,0,1,2,1,1,1,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,.89297241,1.1680012,1.0912713,.89270037,.45221648,.92632848,1.2910428,1.0499284,.81577605,1.0441043,.12732689,.98566329,.85373992
44,0,2,1,1,0,2,2,0,3,1,0,2,3,1,3,2,0,2,0,0,0,0,2,1,0,2,1,1,3,1,0,2,3,2,3,2,0,3,0,0,0,1,1,1,2,0,1,3,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,.11504833,1.1680012,-.51025838,-1.3669701,.36106741,.4896912,.48527592,-1.3074093,.095626466,1.9080421,-.010542162,.58237112,.85373992
45,0,2,1,3,1,3,1,0,3,1,1,1,2,0,1,0,0,0,0,0,0,0,0,3,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-1.1161851,-.69084215,-.99547136,-.1524858,.91962248,-1.3141685,.96890467,-.78059703,-1.0454186,-1.5081917,-.058889568,1.8356935,.85373992
46,0,1,1,3,1,3,0,0,2,0,0,3,3,1,3,2,0,3,1,0,0,0,0,3,1,3,0,0,1,0,1,2,2,1,2,1,0,2,1,0,0,0,0,2,2,0,1,3,1,0,1,3,1,1,1,2,1,1,2,3,3,3,3,-.47599864,1.7746874,-.99547136,-.39366832,.90293914,-.4089404,.69627273,.13861448,-1.0454186,.74703431,-.22443704,-.56528735,.85373992
47,0,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,2,1,2,2,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,-.097380191,.38538423,-.99547136,.060945131,-.83671588,-.62992817,-1.8047668,-1.3074093,-1.0454186,-.15791251,.34293532,-.16881752,-.7332114
48,1,2,1,0,0,2,2,0,0,2,1,2,3,0,3,1,0,2,0,0,0,0,2,0,1,0,1,0,0,2,1,1,3,1,3,1,1,3,1,0,1,1,1,3,1,2,2,1,3,2,1,3,3,1,1,2,1,3,1,3,3,2,1,-.45785403,1.1680012,-.51025838,-.61337787,-1.1207857,-.13148063,-1.2831422,.13861448,.32792392,1.9080421,1.4329259,.031806823,-.50019491
49,1,1,1,2,0,2,1,0,2,2,0,2,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,2,2,2,-.74064142,-.69657743,.3150138,-.92648959,.10194343,-.3607071,-.3978422,.13861448,.31950828,-.15791251,-.48835084,-.70553201,-.7332114
50,0,2,1,2,2,3,0,1,3,3,1,3,3,0,2,0,1,1,1,0,1,1,1,3,2,3,1,1,3,3,3,3,2,2,3,3,3,2,2,2,2,2,1,0,2,1,2,3,1,1,1,2,3,3,3,3,3,2,2,3,3,3,3,-1.0026373,.38339761,.42923003,.42391449,1.286094,.61680883,1.7652106,1.4357656,1.0078679,.9877252,-.48835084,.049915489,.85373992
51,0,2,1,2,0,1,1,0,1,1,0,1,2,0,1,2,0,2,0,1,0,1,0,1,0,1,1,1,1,1,1,1,2,1,1,2,0,2,1,1,1,1,0,1,1,0,2,2,1,0,0,1,1,2,1,1,2,2,1,2,3,3,3,-.51649112,.11538603,.16677795,-1.3669701,-.89935899,.30064252,-.3978422,-.12802431,.31950828,.51029098,-.82789791,-.96091962,.29332697
52,1,2,1,2,0,1,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,3,3,3,1,2,3,1,2,1,2,0,1,1,3,3,3,3,-1.6476616,-.5275709,-.99547136,-.33629614,-1.7169415,-1.3141685,-1.3177918,-1.3074093,-1.0454186,-.44072965,.90453231,-.48525104,.85373992
53,0,1,1,2,1,1,2,1,3,3,2,3,3,2,3,3,1,2,1,3,0,1,0,2,1,1,2,2,3,3,2,3,3,2,2,2,0,2,2,3,0,0,0,2,0,2,2,3,3,3,1,3,3,3,2,3,3,2,0,3,3,3,3,.83566821,1.1680012,.29195902,.49195027,.68285084,.92632848,.78283554,.84348106,-.47984353,1.0441043,1.2171651,-.27813423,.85373992
54,0,1,1,3,0,3,2,2,3,1,0,3,2,3,1,2,0,1,0,0,0,1,1,1,0,2,1,2,2,1,0,1,1,2,1,1,0,1,0,0,0,1,0,1,2,1,1,2,2,1,2,2,2,1,2,2,2,1,2,3,2,3,2,1.0912582,-.30347511,.10930122,-1.3669701,1.6678367,.55918247,.04665741,-1.3074093,-.077283129,-.15791251,.12732689,-.017886361,-.30504405
55,0,1,1,1,1,1,0,0,2,2,1,2,2,1,2,0,0,2,2,0,0,1,0,1,3,1,2,1,3,2,3,3,2,1,1,1,0,2,3,1,1,1,1,0,2,1,2,2,2,2,3,2,2,2,1,3,2,2,2,3,2,2,3,-1.1011205,.38538423,-.052720841,.26141039,-.32172483,.34685326,.53251648,2.1275382,.43908387,.51029098,-.10880393,.4975889,-.55057013
56,0,2,1,2,0,2,0,0,3,1,1,2,3,1,1,1,1,2,0,0,0,0,0,3,1,3,2,1,3,1,1,3,1,1,1,1,1,2,1,0,1,0,0,0,3,1,2,3,1,1,3,2,2,3,1,3,2,2,2,3,2,3,3,-.7147752,.55988252,-.99547136,-.61337787,.55110204,.34685326,1.7652106,.13861448,-.39616859,.18447703,-.48835084,.50200135,-.11071451
57,0,2,1,2,1,3,1,0,0,3,0,0,2,1,3,0,1,2,1,0,0,0,0,3,2,3,0,2,1,3,1,0,1,1,3,2,0,2,3,0,1,2,1,0,2,0,1,1,0,2,2,2,1,1,1,1,0,2,2,3,2,3,2,-.72029686,.65682626,-.99547136,-.39366832,-1.2133607,.3698107,.21007699,.81946254,.67384344,.69796032,-1.4053853,.14913584,-.30504405
58,0,2,1,3,1,2,2,1,2,2,1,2,2,1,1,1,0,2,2,1,2,1,0,2,1,2,1,0,2,2,1,1,2,0,0,0,0,1,2,1,1,0,0,1,2,1,2,2,1,2,2,3,1,2,3,2,3,2,2,3,3,3,3,.15372747,.11538603,.62241727,.26141039,.28462625,-.69204277,.25865552,.39533228,-.15727352,-.10768057,-.058889568,.14913584,.85373992
59,1,3,1,2,2,1,1,1,1,3,2,1,3,1,3,1,2,3,2,2,3,2,1,1,1,0,0,0,0,2,1,1,2,0,0,0,1,2,1,1,2,0,0,1,3,1,1,1,1,2,3,1,2,1,2,1,2,2,3,2,2,2,2,-.097380191,1.7746874,1.3910617,1.1082047,-.89935899,-1.3141685,-.93463957,.13861448,-.044986814,.31567785,-.41261625,.86708963,-.7332114
60,0,2,1,3,1,3,1,1,3,2,2,3,2,1,2,2,1,2,2,0,0,1,1,2,1,3,0,0,3,1,1,2,2,0,1,1,1,1,1,0,0,1,1,0,2,1,3,3,2,2,2,3,1,3,2,2,2,2,2,3,2,2,3,.13203666,.38538423,.10930122,.71610928,1.6678367,-.75863916,.94458497,.13861448,.095626466,.15104237,.085328393,.14913584,-.55057013
61,1,2,1,3,1,3,1,1,2,2,1,3,3,1,3,1,1,3,1,0,0,1,1,3,1,3,1,1,2,1,1,2,3,1,3,1,0,3,1,1,0,0,0,2,2,1,3,3,3,2,2,3,3,2,2,3,3,3,2,1,3,3,3,-.097380191,1.7746874,.10930122,.060945131,.90293914,.13391142,.91269797,.13861448,-.61685443,1.9080421,.90453231,.58237112,.19391057
62,0,2,1,3,0,2,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,1,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,3,3,3,3,3,1,1,1,1,2,2,2,3,3,3,3,-1.6476616,-1.5390894,-.052720841,-1.3669701,-.40130687,-1.3141685,.95268738,-1.3074093,-1.0454186,-1.5081917,.90453231,.70844829,.85373992
63,1,2,1,3,0,2,1,0,1,1,0,1,1,0,1,1,0,0,0,0,3,1,1,3,0,2,1,0,1,1,0,1,1,0,1,1,0,0,0,0,3,1,0,0,3,0,2,2,2,3,2,2,2,3,2,3,3,3,3,3,3,3,3,-.74064142,-1.113391,.70842999,-1.3669701,-.46589449,-.38816473,.1731102,-1.3074093,.37564099,-.54590893,-.54877442,.97598594,.85373992
64,0,2,1,2,2,2,1,1,3,2,2,2,3,2,3,2,1,2,3,0,0,0,2,3,2,3,2,1,1,1,1,3,2,3,2,2,1,1,2,1,0,0,1,1,3,2,3,2,1,2,3,3,3,3,3,3,3,2,2,3,3,2,3,.3779611,1.1680012,-.51025838,1.2893863,.55110204,.84885722,1.0498086,.64429754,-.31734896,.41420463,.34656614,.84008616,-.24440581
65,1,2,1,2,1,2,1,1,2,3,1,3,3,1,2,1,1,3,1,1,0,1,1,1,1,2,1,1,2,2,1,2,3,1,3,1,1,3,1,2,0,1,1,1,2,1,2,2,1,3,2,2,3,2,3,3,3,3,2,1,2,2,2,-.097380191,1.3001554,.30033031,.060945131,.34200382,.13391142,.28419363,.13861448,.30880886,1.9080421,-.2298331,.74466956,-.7991699
66,0,3,1,2,1,2,2,3,2,2,1,3,2,2,2,2,2,1,0,0,0,2,1,2,1,,1,3,2,1,1,3,2,2,2,2,1,1,0,1,0,2,0,1,0,1,1,1,1,0,0,1,1,1,0,2,1,1,2,3,3,3,3,1.1379002,-.029092822,.46919632,-.1524858,.34200382,.92758787,.75995386,-.15581973,.42944559,.41420463,-.41261625,-1.1502757,.85373992
67,1,2,1,3,2,2,1,1,2,3,2,2,3,1,3,2,1,3,2,0,0,1,0,3,1,3,1,1,2,3,2,2,2,1,3,1,0,3,2,0,0,1,0,0,3,0,1,1,1,3,3,2,3,1,2,3,2,3,3,3,3,3,3,.13203666,1.7746874,-.052720841,1.1082047,.28462625,.13391142,.91269797,.84348106,-.077283129,1.3613814,-.92176819,1.8356935,.85373992
68,0,1,1,3,1,3,2,3,3,0,1,2,0,2,1,2,1,0,0,1,1,0,0,3,0,,2,1,2,0,0,2,0,1,0,2,0,0,0,0,2,0,0,2,1,2,1,2,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,1.1379002,-1.5390894,.013697047,-.1524858,1.1644477,.52110779,.74115849,-1.3074093,-.29674301,-1.5081917,.68207657,-.55173343,-.7332114
