Folio,Género,Edad,Escuela,ImF1,ImF2,ImF3,ImF4,ImF5,ImF6,ImF7,ImF8,ImF9,ImF10,ImF11,ImF12,ImF13,ImF14,ImF15,ImF16,ImF17,ImF18,ImF19,ImF20,ImT21,ImT22,ImT23,ImT24,ImT25,ImT26,ImT27,ImT28,ImT29,ImT30,ImT31,ImT32,ImT33,ImT34,ImT35,ImT36,ImT37,ImT38,ImT39,ImT40,ImD41,ImD42,ImD43,ImD44,ImD45,ImD46,ImD47,ImD48,ImD49,ImD50,ImD51,ImD52,ImD53,ImD54,ImD55,ImD56,ImD57,ImD58,ImD59,ImD60,ThetaImFin,ThetaImTra,ThetaImRisk,ThetaImRen,ThetaImCom,ThetaTenFin,ThetaTenCom,ThetaTenRen,ThetaTenRisk,ThetaTenTra,ThetaDañCom,ThetaDañRen,ThetaDañRisk
1138,1,0,6,2,2,2,2,2,2,2,0,1,3,2,2,1,2,1,2,1,2,2,2,1,0,1,2,2,0,1,0,1,0,2,1,2,1,2,1,2,2,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,.66904998,.38339761,1.1808708,.26237741,-.16420048,.92632848,-.66425729,-.73759902,.64511776,-.10183399,-.77996224,-.99838018,-1.6484224
1139,1,0,6,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-.097380191,-.69657743,-.52927154,-.92648959,-1.3889817,-1.3141685,-1.8047668,-1.3074093,-1.0454186,-1.5081917,2.0206099,1.8356935,.85373992
1140,0,0,6,2,1,2,2,1,2,2,2,2,1,2,0,2,0,1,1,0,0,0,0,2,1,2,1,2,2,1,2,2,2,2,1,2,0,2,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,3,3,3,3,.62945664,-.95758206,-.99547136,.49195027,.10194343,.73390305,.4715873,.59561199,-1.0454186,.51029098,-.41261625,-1.1970642,.85373992
1141,1,0,6,2,1,1,0,0,2,1,1,2,3,1,3,0,1,2,2,0,0,0,1,1,1,0,0,0,0,0,1,0,2,0,1,0,0,1,1,0,0,0,1,0,2,0,1,2,0,1,0,1,1,1,1,1,2,1,0,1,2,2,2,-1.1011205,1.1680012,-.63944167,.26141039,-.12134644,-1.3141685,-1.3177918,.13861448,-.60867023,.15104237,-1.6372836,-.99856138,-.7991699
1142,1,0,6,1,1,2,2,1,3,3,1,2,2,1,2,1,1,1,2,1,0,1,1,1,1,2,0,1,1,2,1,1,2,0,1,0,0,1,1,0,0,1,0,1,1,2,1,1,1,0,1,2,0,0,0,1,1,0,1,3,3,3,1,.15372747,-.029092822,.30033031,.26141039,.36106741,-.62992817,-.1997651,.13861448,-.077283129,.15104237,.14697368,-1.1970642,.086495362
1143,1,0,6,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-.7147752,-.69657743,-.99547136,-.1524858,-2.5741887,-.080228381,-1.3177918,-.37722811,-1.0454186,-.15791251,1.6524501,1.8356935,.85373992
1144,1,0,6,1,2,1,2,3,3,3,3,2,1,0,1,2,3,2,1,0,1,2,3,2,1,0,1,1,0,1,2,1,1,1,1,1,2,3,2,1,0,1,0,0,0,1,2,3,3,1,1,2,2,2,1,1,1,2,1,1,2,2,2,.69746411,-.30077508,.93747842,1.3034314,.10159632,.13391142,-.71005577,.84348106,.087347127,.36767176,.11380897,-.50812781,-.7991699
1145,1,0,6,1,1,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,2,3,3,1,-1.1161851,-1.987875,.10930122,-.6840384,-.078076527,-1.3141685,-1.8047668,-1.3074093,-1.0454186,-1.5081917,-1.6372836,-1.4272316,-.14932355
1146,1,0,6,2,1,3,1,1,2,1,1,3,3,1,2,1,1,2,2,0,0,0,0,2,0,3,1,0,3,1,1,3,2,1,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,2,2,2,2,1,1,3,2,2,2,3,3,3,3,-.097380191,.82388866,-.99547136,.26141039,.64386761,-.3607071,1.2910428,-.12802431,-1.0454186,.15104237,-1.0431606,.27994195,.85373992
1147,0,0,6,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.6476616,-1.4416487,-.60918421,-1.3669701,-.83671588,-1.3141685,-1.8047668,-1.3074093,-.91303819,-1.3542919,-.41261625,-.70553201,-1.3770983
1148,1,0,6,1,0,1,0,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,1,2,3,1,2,2,2,2,2,2,3,3,2,2,3,3,3,3,-1.6476616,-.5275709,-.99547136,-1.3669701,-1.1063514,-1.3141685,-1.8047668,-.47638983,-1.0454186,-.44072965,-.2298331,.27994195,.85373992
1149,1,0,6,3,0,1,2,0,2,1,0,1,1,2,1,1,0,1,0,0,0,0,1,2,0,1,1,0,2,0,0,1,2,1,0,1,0,1,0,0,0,0,1,1,3,1,0,3,1,1,3,2,2,1,3,3,3,2,3,3,3,3,3,.10894707,-.69657743,-.63944167,-1.3669701,-.24321792,-.13148063,.063445017,-1.3074093,-.60867023,-.10768057,-.2298331,.71934187,.85373992
1150,0,0,6,2,1,2,1,2,3,2,0,2,2,0,1,0,0,1,0,0,0,0,1,0,1,2,2,1,1,3,0,1,2,1,0,2,0,1,0,1,0,0,0,2,3,3,1,3,3,1,3,3,2,3,1,2,3,1,1,3,3,3,3,-.45175031,-.30347511,-.63944167,-.6840384,.55110204,.52110779,-.41360977,-.78059703,-.61685443,-.10768057,1.6524501,.13529071,.85373992
1151,1,0,6,2,2,2,1,1,3,2,2,3,3,1,2,2,1,3,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,3,3,3,3,.13203666,1.3001554,-.99547136,.74141425,.88185877,.75501257,.4715873,1.0499284,-.60867023,.51029098,-.41261625,-.70553201,.85373992
1153,0,0,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,-.097380191,-.69657743,.6566574,.060945131,-.89935899,.13391142,-.3978422,.13861448,-.15727352,-.15791251,-.41261625,-.70553201,-.7332114
1154,0,0,6,2,0,2,0,0,2,0,0,2,2,0,2,0,0,2,2,0,0,0,3,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-1.6476616,.38538423,-.46330625,-.74903476,.10194343,-.044328194,.4715873,1.0499284,1.1048002,.74703431,2.0206099,1.8356935,.85373992
1155,0,0,6,1,1,1,1,1,1,2,2,1,2,0,2,0,0,1,2,0,0,0,1,1,1,0,1,0,1,1,2,1,1,0,1,0,0,1,1,0,0,0,1,1,2,1,1,3,2,1,2,1,2,3,,2,3,1,2,3,3,3,2,-.63886213,-.029092822,-.63944167,.71610928,-1.1063514,-.69204277,-.60981578,.59561199,-.60867023,-.15791251,-.038300436,-.017886361,.19658166
1156,1,0,6,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0,1,1,2,3,2,1,0,0,0,1,2,1,0,0,2,1,0,0,0,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,3,3,3,3,3,-1.1011205,-1.4416487,-.99547136,-1.3669701,-2.1280119,.7550382,-.69950336,-.13175173,-.61685443,-.73374397,-.41261625,-.28789103,.85373992
1160,1,0,6,3,1,2,1,0,2,1,1,2,1,0,0,1,1,2,2,2,0,0,1,2,1,2,1,1,3,1,1,2,1,0,0,1,1,1,0,2,0,0,1,1,0,1,1,1,2,1,2,1,1,2,2,2,2,2,2,1,3,3,2,-.74064142,-.56025749,-.2098553,.26141039,.28462625,-.071075402,.68193597,-.15581973,-.22832024,-.44072965,-.038300436,-.22932582,-.13058285
1162,1,0,6,2,1,2,2,0,3,2,0,1,3,0,2,2,1,2,2,0,0,0,0,3,1,3,2,0,3,1,1,1,1,0,2,3,0,1,1,2,0,0,1,1,3,1,2,3,1,1,3,3,2,2,2,3,2,2,2,3,2,2,2,-.18232916,.82388866,-.99547136,-.18843907,.26983801,.13380851,1.0598037,.13861448,-.22832024,.098328598,-.058889568,.50200135,-.66022825
1163,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,3,1,2,1,1,3,0,2,0,0,1,2,2,2,2,2,2,-1.6476616,-1.987875,-.99547136,-1.3669701,-2.5741887,.13391142,-.3978422,.13861448,.43908387,-.15791251,-.010542162,-.33174932,-.7332114
1165,1,0,6,2,3,1,0,0,2,1,3,1,2,0,1,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,3,2,2,-1.6476616,-.69084215,.5739553,2.0099378,-.41495898,-1.3141685,-1.8047668,-1.3074093,-1.0454186,-1.5081917,.8014676,.27994195,-.50325829
1170,0,1,8,3,0,2,1,0,3,1,0,2,2,0,1,1,2,1,0,0,0,1,1,3,1,3,2,1,2,1,2,1,2,1,3,2,3,2,1,1,0,2,1,3,3,3,3,2,2,2,2,2,1,2,1,1,1,1,1,3,3,3,3,-.74064142,-.30347511,.10930122,-1.3669701,.78930759,.52110779,.69372547,.59561199,.58605242,.9877252,1.1432611,-.073564552,.85373992
1171,1,1,8,2,0,2,3,0,1,0,0,1,0,2,0,3,0,0,0,1,0,1,0,1,2,2,3,0,1,0,3,3,0,0,0,3,0,0,0,3,1,1,2,1,3,1,1,2,1,3,3,3,3,3,3,1,3,3,3,2,3,3,3,.96257007,-1.987875,.16677795,-1.3669701,-.62542987,.31981206,.20945354,1.0120106,.66164488,-1.5081917,-.058889568,1.8356935,.29332697
1172,0,1,8,2,2,2,2,2,3,2,2,3,3,2,1,2,0,1,1,0,0,0,0,3,1,2,2,2,2,1,1,2,0,0,0,1,0,0,1,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,.89297241,.062561907,-.99547136,.89270037,.88185877,.41925141,.65930396,.13861448,-1.0454186,-1.5081917,2.0206099,1.8356935,.85373992
1176,1,0,6,1,1,1,1,0,2,1,1,2,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,2,0,1,0,0,0,0,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,-.74064142,-.69657743,.10930122,.060945131,-.32172483,-.6191557,-.62199318,-.78059703,-.60867023,-.15791251,.87235492,.43756738,.85373992
1179,1,0,6,1,1,1,1,1,2,1,1,1,1,1,2,0,1,2,1,0,0,0,0,3,1,3,1,1,1,1,2,2,2,0,3,3,2,3,1,0,0,0,0,3,3,3,3,3,3,1,3,2,3,3,3,2,3,2,1,3,3,3,3,-.32685074,.012788535,-.99547136,.060945131,-.62683851,.1820135,.69627273,.59561199,-1.0454186,1.3613814,1.6404467,.53093517,.85373992
1183,1,1,6,0,1,1,1,0,1,1,1,1,3,1,1,0,0,1,1,1,0,1,1,1,1,1,2,0,1,0,1,2,2,0,1,0,0,1,1,3,0,2,1,0,3,1,0,0,1,0,3,2,3,0,1,0,3,1,2,1,3,1,3,-.72029686,.062561907,.30033031,.060945131,-1.2653079,-.51344031,-.16404814,.13861448,.75575703,.15104237,-.48835084,.45473814,-.73687124
1185,1,0,6,1,2,1,2,0,1,2,1,1,2,1,2,3,3,2,3,3,3,2,3,0,1,1,1,2,0,1,1,0,1,1,0,0,0,1,2,0,0,0,0,1,1,1,2,2,1,1,2,2,0,2,2,1,2,0,1,2,3,3,3,.27923766,.38538423,1.7257913,.81481487,-1.1063514,.1837028,-1.3203321,.39533228,-1.0454186,-.44072965,-.2298331,-.77057964,.29332697
1190,0,1,8,2,1,2,2,1,2,2,1,2,3,1,2,2,1,1,1,0,1,2,0,1,1,2,1,1,1,1,1,1,2,1,2,2,0,1,1,2,1,1,0,1,2,1,2,2,1,2,2,2,2,2,1,1,3,1,1,2,2,2,3,.38735187,.38339761,.66376615,.060945131,.10194343,.30064252,-.1997651,.13861448,.39225593,.41420463,-.2298331,-.029789455,-.63401598
1191,0,1,8,3,2,3,1,0,3,2,2,3,3,1,1,1,0,2,1,1,0,1,0,3,3,2,1,0,3,1,1,3,1,0,1,0,0,0,1,1,0,1,0,1,2,1,2,3,1,1,2,3,2,2,1,2,3,2,2,3,3,3,3,-.42340261,.55988252,.16677795,.89270037,1.6678367,-.69204277,1.2748878,.4747906,.087347127,-.54590893,-.058889568,.13418667,.85373992
1192,1,1,8,1,2,3,2,0,3,3,2,3,3,3,3,2,3,2,0,0,0,0,2,2,2,2,1,3,3,3,2,3,3,3,3,1,2,3,3,0,0,0,3,0,3,1,3,2,1,2,2,3,3,2,3,3,3,3,2,3,3,3,1,.57839376,1.1680012,-.51025838,.74141425,1.106205,.9326632,.94684547,1.242419,-.46937302,1.9080421,-.32959759,.75114202,.086495362
1193,1,0,6,3,0,1,2,2,1,0,0,2,2,1,1,1,0,1,0,0,0,0,3,3,1,0,2,1,1,0,1,3,1,2,1,1,1,1,0,0,0,0,3,3,0,0,1,1,1,0,0,2,0,1,0,1,0,0,0,3,3,3,3,.41403624,-.30347511,-.46330625,-1.3669701,-.42397413,.53873092,.31487784,-.15581973,-.46937302,-.15791251,-.38215053,-2.2012987,.85373992
1195,1,0,6,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,3,1,3,3,1,3,3,2,3,3,2,,3,3,3,1,2,2,3,-1.1161851,-1.987875,.57185948,-1.3669701,-1.1063514,-1.3141685,-.3978422,-1.3074093,.31950828,-1.5081917,-.2298331,1.8356935,-.70197654
