Folio,Género,Edad,Escuela,Grit1,Grit2,Grit3,Grit4,Grit5,Grit6,Grit7,Grit8,ThetaPE,ThetaCI
478,0,3,4,0,0,1,0,2,0,1,1,-1.2924507,-.92272121
479,0,1,4,0,2,0,0,2,2,0,3,.25828463,-1.9067848
480,0,3,4,0,0,3,3,0,0,3,0,-2.4811723,1.6768662
481,1,2,4,1,3,2,1,3,2,1,2,.66415358,-.079788059
482,1,3,4,0,,2,2,1,3,3,3,.30228424,.83153886
483,1,2,4,3,2,3,2,3,0,0,3,.41775244,.71657252
484,1,1,4,2,2,1,2,1,3,2,1,-.50224477,.47236976
485,1,1,4,2,2,1,1,2,2,2,2,-.064017087,.11393275
486,1,1,4,3,2,1,1,0,2,2,3,-.29358345,.25954804
487,0,2,4,0,3,1,0,1,1,1,3,-.088975035,-.92272121
488,0,1,4,1,1,0,0,1,1,1,1,-1.2106394,-1.1218179
489,0,1,4,0,3,1,1,3,3,2,3,1.5962187,-.19130896
490,0,1,4,,,,,,,,,,
491,0,1,4,,,,,,,,,,
492,1,1,4,2,2,1,1,2,2,1,2,-.064017087,-.23124489
493,0,1,4,2,2,,3,2,2,3,2,-.064017087,1.6235512
494,0,1,4,0,2,1,2,2,2,1,2,-.064017087,-.19357902
495,0,1,4,1,2,2,1,2,2,1,2,-.064017087,-.079788059
496,1,1,4,1,1,0,1,1,1,1,1,-1.2106394,-.70078504
497,0,3,4,2,2,2,2,2,2,2,2,-.064017087,.77397722
498,1,2,4,2,1,2,2,1,1,1,1,-1.2106394,.44643846
499,1,1,4,1,2,0,1,0,2,2,2,-.64542234,-.35810053
500,1,2,4,1,3,1,1,2,2,2,2,.22404699,-.060038511
501,1,1,4,2,2,2,2,2,2,2,2,-.064017087,.77397722
502,1,1,4,1,2,3,0,2,3,1,3,.57535625,-.27332258
503,1,1,4,2,2,0,1,2,3,1,2,.20908262,-.53172666
504,0,1,4,1,2,1,1,2,1,2,2,-.31552058,-.060038511
505,0,1,4,2,2,1,1,2,2,1,2,-.064017087,-.23124489
506,,,4,3,2,1,1,1,0,1,2,-.85682172,-.1127855
507,0,1,4,2,1,0,1,2,3,3,3,.3149814,.05228664
508,0,1,4,2,1,2,2,1,2,2,2,-.72197121,.77397722
509,0,1,4,2,1,2,1,1,2,2,2,-.72197121,.44280446
510,0,1,4,2,2,0,0,3,3,0,3,1.0915484,-1.4586514
511,1,1,4,2,2,1,1,2,2,1,2,-.064017087,-.23124489
512,0,2,4,2,2,2,1,2,2,1,2,-.064017087,.091056138
513,1,1,5,2,2,1,1,3,3,1,2,.6538915,-.23124489
514,0,1,5,1,3,1,3,3,2,3,3,1.0983543,.93533403
515,0,1,5,0,3,1,1,2,2,0,2,.22404699,-.91184765
516,0,1,5,0,3,0,1,3,3,0,3,1.5962187,-1.3306642
517,1,2,5,0,0,2,0,2,1,3,0,-1.2913103,.064878687
518,1,1,5,2,3,1,2,2,3,2,3,.9500668,.47236976
519,0,1,5,3,2,2,1,2,2,2,3,.25828463,.60290915
520,0,1,5,0,3,1,0,3,2,0,3,1.0983543,-1.3841718
521,1,3,5,1,0,0,1,0,1,0,0,-2.0827305,-1.1110746
522,1,2,5,2,2,0,0,3,3,0,3,1.0915484,-1.4586514
523,0,1,5,2,2,1,1,1,1,1,2,-.69655955,-.23124489
524,0,1,5,1,0,2,2,1,3,2,2,-.64627576,.61830294
525,0,1,5,2,2,2,2,2,2,1,2,-.064017087,.44643846
526,0,0,5,2,2,1,2,2,1,3,2,-.31552058,.75722933
527,0,1,5,2,2,2,2,2,1,2,1,-.59841353,.77397722
528,0,1,5,2,1,0,1,2,3,3,3,.3149814,.05228664
529,0,1,5,2,2,2,0,2,2,3,2,-.064017087,.49279231
530,1,1,5,2,1,2,2,1,2,1,2,-.72197121,.44643846
531,0,1,5,3,2,2,1,1,3,1,2,-.18341932,.23338215
532,1,2,5,1,2,0,3,2,1,3,2,-.31552058,.71862441
538,0,1,5,1,3,1,1,2,2,2,3,.58610678,-.060038511
539,0,1,5,0,2,0,0,3,3,1,3,1.0915484,-1.3417779
540,0,1,5,1,2,1,1,2,2,1,2,-.064017087,-.39136755
541,1,1,5,2,1,2,2,2,2,2,2,-.33721483,.77397722
542,1,1,5,1,2,1,1,1,2,0,2,-.43684897,-.73411167
543,1,1,5,0,1,2,2,2,1,2,3,-.31091756,.53535259
544,0,2,5,3,3,3,2,2,2,2,3,.58610678,1.2419208
545,0,2,5,2,0,1,1,2,3,1,3,.26219893,-.23124489
546,0,1,5,2,0,0,1,1,0,0,0,-1.9322553,-.94374251
547,0,0,5,0,2,1,0,3,2,0,2,.3194226,-1.3841718
548,0,1,5,0,2,1,0,1,3,0,3,.21396805,-1.3841718
549,0,0,5,2,1,2,1,3,1,3,3,.1490307,.72206837
550,0,0,5,2,1,1,1,1,0,0,0,-1.6527984,-.56466365
551,0,0,5,0,2,1,0,3,3,0,2,.6538915,-1.3841718
552,0,0,5,2,2,1,1,3,2,1,1,.057443667,-.23124489
553,0,1,5,2,2,1,2,2,3,1,2,.20908262,.11516648
554,0,1,5,2,1,1,2,1,1,1,2,-.9690001,.11516648
555,0,0,5,3,2,0,2,2,0,3,1,-.75485653,.80063319
556,1,1,5,0,3,0,2,3,3,0,0,.86303353,-1.0572901
557,0,1,5,2,2,1,1,2,2,3,0,-.4312712,.34032068
558,0,0,5,2,2,2,3,2,2,2,2,-.064017087,1.0795684
563,0,0,5,2,1,2,2,1,2,2,2,-.72197121,.77397722
564,1,0,5,3,3,2,0,3,3,1,3,1.5962187,-.072242811
565,0,0,5,2,2,1,1,2,2,1,3,.25828463,-.23124489
566,0,0,5,3,1,3,3,0,1,3,0,-1.7839738,2.1848817
567,1,0,5,0,1,0,1,2,2,0,0,-.77164465,-1.3306642
568,0,1,5,1,2,1,0,2,2,0,2,-.064017087,-1.1605165
569,1,0,5,3,2,1,1,2,3,2,2,.20908262,.25954804
570,1,0,5,,,,,,,,,,
571,0,0,5,0,3,2,0,3,1,0,2,.43358421,-1.0938256
572,1,0,5,1,2,0,3,1,0,2,3,-.58077872,.31279254
573,1,0,5,2,2,2,2,2,2,2,2,-.064017087,.77397722
574,1,0,5,1,2,3,3,2,1,0,0,-.73889905,.61599094
575,1,0,5,0,2,2,0,2,0,1,2,-.43342707,-.59495485
576,1,0,5,1,1,1,0,1,3,2,3,-.14562246,-.40391853
577,0,0,5,0,2,0,1,0,0,1,2,-1.1962701,-.87532932
578,0,0,5,1,1,1,1,1,1,1,1,-1.2106394,-.39136755
579,0,0,5,0,1,1,1,1,1,1,1,-1.2106394,-.53172952
580,1,0,5,1,2,1,1,2,3,1,3,.57535625,-.39136755
581,0,0,5,3,3,3,3,3,3,3,3,1.5962187,2.1848817
582,1,0,5,2,3,1,1,3,0,2,1,.015412439,.11393275
583,1,0,5,2,3,1,1,3,2,1,3,1.0983543,-.23124489
584,1,0,5,0,0,1,0,0,0,1,0,-2.4811723,-.92272121
585,1,0,5,2,2,1,1,2,3,2,3,.57535625,.11393275
586,1,0,5,3,2,2,1,3,3,0,2,.6538915,-.059613187
588,0,0,5,2,2,1,2,3,3,2,3,1.0915484,.47236976
589,0,1,5,2,2,1,1,1,1,2,3,-.42610797,.11393275
590,1,1,5,0,0,0,0,0,0,1,0,-2.4811723,-1.3417779
591,1,1,5,2,2,2,1,1,3,2,2,-.18341932,.44280446
592,0,0,5,2,2,2,1,2,2,2,2,-.064017087,.44280446
593,1,1,5,1,2,1,1,2,1,2,2,-.31552058,-.060038511
594,0,0,5,0,2,0,0,3,3,0,3,1.0915484,-1.9067848
595,0,0,5,2,3,1,2,2,3,1,3,.9500668,.11516648
597,1,1,5,2,2,2,1,3,2,1,2,.3194226,.091056138
598,1,1,5,1,2,1,1,2,2,2,2,-.064017087,-.060038511
599,0,0,5,3,2,2,0,2,2,1,2,-.064017087,-.072242811
600,0,0,5,2,2,2,0,3,2,2,1,.057443667,.19893241
601,1,1,5,2,2,2,2,2,3,2,3,.57535625,.77397722
602,1,0,5,3,2,0,1,1,2,2,2,-.43684897,-.0057832943
603,1,0,5,2,2,1,1,2,2,1,2,-.064017087,-.23124489
604,0,0,5,1,1,3,2,1,1,2,3,-.75504327,.88043451
605,1,1,5,3,1,1,2,1,2,0,1,-.99113524,-.035198513
606,0,0,5,0,3,1,0,3,3,1,3,1.5962187,-.92272121
607,1,0,5,0,3,0,0,1,0,2,3,-.22277844,-1.0559957
613,0,1,5,3,2,1,0,2,3,0,2,.20908262,-.90122563
614,0,2,5,3,2,3,1,2,1,1,2,-.31552058,.47804466
615,1,1,5,0,1,2,2,1,2,2,1,-.99113524,.53535259
616,1,1,5,1,0,2,1,1,2,1,1,-1.1557347,-.079788059
617,0,2,5,3,2,3,2,2,2,3,3,.25828463,1.6562328
618,0,2,5,0,1,0,3,1,2,0,1,-.99113524,-.97396302
619,1,1,5,1,2,3,0,1,2,3,2,-.43684897,.59645504
620,1,1,5,2,2,1,1,2,3,1,1,-.054042414,-.23124489
621,0,1,5,1,2,3,1,1,2,1,3,-.12513666,.089002319
622,1,1,5,1,2,1,3,0,0,3,1,-1.5021077,.93533403
623,0,1,5,1,2,1,1,2,2,1,2,-.064017087,-.39136755
624,1,1,5,0,2,1,1,3,2,2,3,.70286113,-.19130896
625,1,2,5,2,2,2,1,2,0,2,2,-.43342707,.44280446
626,1,1,5,1,2,1,0,2,1,0,2,-.31552058,-1.1605165
627,0,1,5,2,2,3,2,2,2,0,2,-.064017087,.48064148
628,1,1,5,3,2,2,1,2,2,2,1,-.3280234,.60290915
629,1,2,5,2,2,2,2,1,1,2,3,-.42610797,.77397722
630,1,1,5,3,3,2,0,3,,0,3,1.4533336,-.50215054
631,1,1,5,1,1,0,0,2,2,2,2,-.33721483,-.81147075
632,1,1,5,1,2,2,1,3,3,1,2,.6538915,-.079788059
633,0,1,5,0,1,1,1,2,2,2,3,-.016713744,-.19130896
634,0,2,5,3,3,2,3,2,3,3,3,.9500668,1.7032012
635,0,1,5,0,0,0,3,0,0,2,0,-2.4811723,.14502187
638,1,0,5,0,0,1,0,2,1,0,0,-1.2913103,-1.3841718
641,1,1,5,1,3,1,0,3,3,1,3,1.5962187,-.74469846
642,0,0,5,2,3,3,1,0,3,1,2,.044298418,.29057699
643,1,0,5,,,,,,,,,,
644,0,0,5,0,1,2,2,2,2,1,1,-.62370199,.16501163
645,0,0,5,1,2,0,0,3,2,2,3,.70286113,-.81147075
646,1,0,5,2,2,1,1,2,2,1,3,.25828463,-.23124489
647,1,0,5,2,3,2,0,3,2,0,3,1.0983543,-.64313632
648,0,0,5,2,2,1,1,3,1,3,3,.4775022,.34032068
655,1,1,5,3,2,2,1,2,2,2,2,-.064017087,.60290915
658,1,0,5,2,2,2,,1,2,1,1,-.71693271,.25252354
660,1,0,5,,,,,,,,,,
663,1,0,5,2,2,3,2,3,3,1,1,.4335171,.69956917
664,1,0,5,1,2,2,1,2,2,1,2,-.064017087,-.079788059
665,1,1,5,3,3,2,3,3,2,3,3,1.0983543,1.7032012
666,1,0,5,3,2,3,1,3,3,2,1,.4335171,.89787233
667,1,0,5,0,3,3,0,3,3,0,3,1.5962187,-1.0158285
668,1,0,5,2,0,1,2,1,1,0,2,-1.1311822,-.19147244
669,1,0,5,2,1,0,0,3,,2,2,.052878715,-.59265137
670,1,0,5,1,3,3,1,3,3,3,3,1.5962187,.8539986
671,1,1,5,0,2,0,0,3,3,1,3,1.0915484,-1.3417779
672,0,0,5,2,2,3,1,1,3,1,2,-.18341932,.29057699
673,0,0,5,1,2,1,1,2,2,1,2,-.064017087,-.39136755
674,0,0,5,0,1,2,3,2,2,0,2,-.33721483,.077154383
675,1,0,5,1,3,3,3,2,3,,,.77450663,1.3700597
676,0,0,5,2,1,3,1,0,2,1,3,-.71278501,.29057699
677,1,1,5,1,2,0,1,3,2,0,3,.70286113,-1.1110746
678,0,0,5,1,2,2,2,2,2,2,2,-.064017087,.61830294
679,0,0,5,3,2,2,2,2,1,2,2,-.31552058,.93756354
680,0,0,5,2,2,2,0,2,1,0,2,-.31552058,-.64313632
681,1,0,5,0,1,1,2,2,2,1,2,-.33721483,-.19357902
682,1,0,5,0,1,0,0,1,3,2,0,-1.0194263,-1.0559957
683,1,0,5,1,1,2,0,0,3,1,0,-1.4411533,-.41705051
684,1,0,5,2,2,1,1,2,3,1,3,.57535625,-.23124489
685,1,0,5,1,2,1,1,2,2,1,2,-.064017087,-.39136755
688,1,0,5,2,2,2,2,2,2,2,2,-.064017087,.77397722
689,0,0,5,3,3,3,3,0,0,0,3,-.52360338,1.2220354
690,0,0,5,1,3,0,0,3,3,0,3,1.5962187,-1.6141624
691,1,0,5,2,2,1,2,2,2,2,3,.25828463,.47236976
692,1,2,5,2,1,2,1,1,2,1,3,-.45296574,.091056138
693,1,0,5,1,2,1,1,2,2,1,2,-.064017087,-.39136755
694,1,0,5,2,1,0,0,0,0,0,0,-2.09743,-1.4586514
695,1,0,5,0,0,1,2,2,2,1,2,-.43421566,-.19357902
696,0,1,5,3,2,1,2,2,3,0,0,-.13768901,-.035198513
697,0,0,5,2,3,2,1,2,3,1,2,.53782457,.091056138
698,0,0,5,3,2,3,2,3,3,1,3,1.0915484,.90383095
699,1,1,5,2,3,1,2,3,3,2,3,1.5962187,.47236976
700,1,0,5,2,2,1,2,3,2,1,2,.3194226,.11516648
701,0,0,5,2,2,2,2,1,2,2,2,-.43684897,.77397722
702,0,0,5,2,2,2,2,2,2,2,2,-.064017087,.77397722
703,0,1,5,0,0,2,2,0,0,0,0,-2.4811723,-.16318105
704,0,0,5,2,1,0,1,1,0,3,0,-1.6527984,.05228664
705,0,0,5,2,2,1,1,2,1,1,2,-.31552058,-.23124489
706,0,0,5,2,2,3,2,2,3,1,2,.20908262,.69956917
707,0,0,5,2,1,2,1,1,1,2,2,-.9690001,.44280446
708,0,0,5,1,2,1,2,3,3,1,3,1.0915484,-.060567442
712,1,0,5,2,1,2,1,1,2,1,2,-.72197121,.091056138
713,1,1,5,0,2,1,1,2,2,1,1,-.3280234,-.53172952
714,1,1,5,1,2,1,2,3,2,1,1,.057443667,-.060567442
715,1,3,5,3,2,3,2,3,2,3,1,.057443667,1.6562328
716,0,0,5,0,1,0,0,2,2,0,1,-.62370199,-1.9067848
717,0,1,5,3,3,1,1,3,3,1,2,1.047439,-.1127855
718,0,1,5,2,2,1,2,2,1,1,2,-.31552058,.11516648
719,0,0,5,1,1,1,2,2,1,1,2,-.60401618,-.060567442
720,1,1,5,2,2,2,2,2,2,2,2,-.064017087,.77397722
721,0,1,5,2,2,1,2,1,1,1,3,-.42610797,.11516648
722,1,2,5,0,0,,0,0,0,0,3,-1.7057054,-1.6771964
723,0,1,5,2,2,2,1,0,2,2,0,-1.2220553,.44280446
724,0,1,5,0,1,0,0,2,2,0,1,-.62370199,-1.9067848
725,1,1,5,0,2,1,3,0,2,1,3,-.29358345,-.015864471
726,0,1,5,0,2,2,1,1,1,1,0,-1.1379988,-.20908786
727,0,0,5,0,3,0,3,3,3,0,3,1.5962187,-.97396302
728,0,0,5,1,2,2,2,3,2,1,1,.057443667,.27485308
729,0,1,5,2,3,1,0,3,3,2,3,1.5962187,-.20130731
730,0,1,5,3,3,3,3,3,3,3,3,1.5962187,2.1848817
731,1,0,5,0,2,0,1,0,3,0,2,-.36500585,-1.3306642
738,1,0,5,2,2,2,2,1,3,1,2,-.18341932,.44643846
739,1,0,5,0,0,1,2,3,2,1,2,-.044412978,-.19357902
740,1,0,5,1,2,1,2,1,1,2,3,-.42610797,.30004558
741,0,0,5,1,2,1,1,2,2,3,2,-.064017087,.13053037
742,0,0,5,1,2,0,2,2,2,2,0,-.4312712,.052246977
745,0,1,5,1,2,1,1,1,2,2,2,-.43684897,-.060038511
746,0,0,5,,,,,,,,,,
747,1,1,5,1,2,1,2,1,2,1,2,-.43684897,-.060567442
748,1,0,5,2,3,1,1,1,1,2,2,-.45704064,.11393275
751,1,1,5,1,2,1,1,2,3,1,2,.20908262,-.39136755
752,0,0,5,2,2,1,2,2,2,1,2,-.064017087,.11516648
753,1,0,5,3,3,3,3,3,3,3,3,1.5962187,2.1848817
754,0,1,5,1,1,1,1,1,1,1,1,-1.2106394,-.39136755
755,0,0,5,0,3,1,2,3,3,0,3,1.5962187,-.58281988
756,0,0,5,0,1,1,3,2,0,2,2,-.76226717,.44700518
757,0,1,5,1,2,1,2,1,3,2,2,-.18341932,.30004558
758,0,0,5,2,1,1,1,0,1,2,3,-1.0728019,.11393275
759,0,0,5,0,3,0,0,3,3,0,3,1.5962187,-1.9067848
760,0,0,7,3,2,3,1,3,2,0,3,.70286113,.17801592
596,0,1,7,1,2,1,1,2,1,1,2,-.31552058,-.39136755
608,0,1,7,1,3,2,2,1,3,1,3,.65881711,.27485308
609,1,1,7,3,1,1,3,2,1,1,3,-.31091756,.54322469
610,0,1,7,2,1,3,2,2,2,2,3,-.016713744,1.0465374
611,1,1,7,2,2,1,1,2,2,1,2,-.064017087,-.23124489
612,1,1,7,1,2,1,1,2,2,2,2,-.064017087,-.060038511
636,0,1,7,3,3,3,3,3,3,3,3,1.5962187,2.1848817
637,1,1,7,0,0,0,0,0,0,0,0,-2.4811723,-1.9067848
651,1,1,7,2,2,1,2,2,1,1,2,-.31552058,.11516648
652,0,1,7,2,2,1,2,2,1,1,2,-.31552058,.11516648
661,0,1,7,0,0,2,1,2,0,3,3,-.61775452,.41164044
662,1,1,7,2,1,0,1,2,3,2,1,-.3861253,-.15862329
686,1,1,7,2,3,3,0,3,3,2,3,1.5962187,.46489948
687,1,1,7,3,0,0,0,0,0,3,1,-2.0589819,-.21799618
709,1,1,7,2,2,2,2,3,2,2,0,-.021675404,.77397722
710,1,1,7,2,2,2,2,1,3,2,2,-.18341932,.77397722
711,1,1,7,3,3,1,1,3,2,0,2,.66415358,-.45198154
732,1,1,7,1,3,1,1,3,3,1,3,1.5962187,-.39136755
733,0,1,7,2,1,1,2,0,1,2,0,-1.7839738,.47236976
734,1,2,7,2,2,1,1,2,1,1,2,-.31552058,-.23124489
735,0,1,7,3,2,1,1,3,2,2,3,.70286113,.25954804
736,1,1,7,3,3,0,3,3,3,3,3,1.5962187,1.3093935
761,1,1,7,1,3,1,1,3,2,1,2,.66415358,-.39136755
763,1,1,7,2,2,1,1,2,2,1,2,-.064017087,-.23124489
764,1,1,7,1,1,0,0,3,3,1,2,.39187685,-1.1218179
765,1,1,7,1,2,1,1,2,2,1,2,-.064017087,-.39136755
767,1,1,7,,,,,,,,,,
768,1,1,7,1,3,2,1,2,2,1,2,.22404699,-.079788059
770,0,1,7,,,,,,,,,,
771,1,1,7,3,3,3,3,3,3,3,3,1.5962187,2.1848817
772,0,1,7,2,3,2,2,3,3,3,3,1.5962187,1.0766572
773,0,2,7,0,2,2,1,2,2,2,0,-.4312712,.16341542
774,0,1,7,1,3,1,1,2,3,1,3,.9500668,-.39136755
775,1,1,7,1,1,1,1,2,1,1,1,-.88684392,-.39136755
776,0,1,7,2,2,0,0,3,3,1,3,1.0915484,-.95542222
777,1,1,7,0,2,1,1,2,1,1,2,-.31552058,-.53172952
778,1,1,7,2,2,2,1,2,2,3,1,-.3280234,.72206837
779,1,1,7,3,2,3,3,1,2,3,3,-.12513666,2.1848817
780,1,1,7,1,2,1,2,1,2,0,2,-.43684897,-.39683262
781,1,1,7,1,3,3,1,1,3,1,2,.16988426,.089002319
782,1,1,7,1,1,0,1,0,0,0,0,-2.09743,-1.1110746
784,1,1,7,2,3,1,2,2,0,2,3,.29041275,.47236976
785,1,1,7,1,2,2,2,3,2,1,2,.3194226,.27485308
786,1,1,7,0,2,1,3,1,2,1,0,-.86836565,-.015864471
787,0,1,7,1,2,0,0,3,3,0,3,1.0915484,-1.6141624
788,1,1,7,1,2,1,2,2,2,1,2,-.064017087,-.060567442
789,1,1,7,0,0,0,0,1,1,1,2,-1.1311822,-1.3417779
790,0,1,7,0,2,2,2,3,2,1,2,.3194226,.16501163
791,1,1,7,0,0,0,0,0,0,0,0,-2.4811723,-1.9067848
792,1,1,7,3,3,0,1,2,2,1,3,.58610678,-.4183504
793,1,2,7,0,2,2,1,2,2,2,0,-.4312712,.16341542
794,0,1,7,2,2,2,1,2,2,1,2,-.064017087,.091056138
795,1,1,7,0,3,2,2,3,3,0,3,1.5962187,-.16318105
796,0,2,7,1,2,1,2,2,1,2,1,-.59841353,.30004558
797,0,1,7,0,2,1,1,3,3,1,2,.6538915,-.53172952
798,0,1,7,1,2,1,1,2,2,1,3,.25828463,-.39136755
800,1,0,7,0,3,0,0,3,3,0,2,1.047439,-1.9067848
801,1,1,7,3,0,3,3,0,0,3,0,-2.4811723,2.1848817
802,1,1,7,3,2,1,3,1,2,0,0,-.86836565,.23842108
803,0,0,7,0,3,3,2,2,1,0,1,-.33259287,.061246987
804,1,0,7,1,0,2,1,0,2,0,1,-1.5317538,-.40504989
805,1,0,7,0,2,1,3,0,2,1,3,-.29358345,-.015864471
806,0,1,7,0,2,0,0,3,3,0,2,.6538915,-1.9067848
807,1,1,7,,,,,,,,,,
808,1,1,7,2,2,2,2,2,2,2,2,-.064017087,.77397722
809,1,1,7,1,3,1,1,2,2,1,2,.22404699,-.39136755
810,0,1,7,1,3,1,0,3,3,1,3,1.5962187,-.74469846
811,1,1,7,2,2,1,2,1,2,2,2,-.43684897,.47236976
812,0,1,7,2,2,1,1,2,2,1,2,-.064017087,-.23124489
813,0,1,7,2,3,1,0,3,3,0,3,1.5962187,-.99534655
814,0,1,7,2,2,1,1,2,2,1,2,-.064017087,-.23124489
815,1,2,7,3,2,3,3,2,2,3,3,.25828463,2.1848817
817,1,1,7,1,2,0,0,2,2,0,0,-.4312712,-1.6141624
818,1,1,7,1,2,1,1,2,2,1,2,-.064017087,-.39136755
819,0,1,7,2,1,2,2,1,2,2,1,-.99113524,.77397722
820,1,1,7,2,2,1,1,3,2,1,2,.3194226,-.23124489
821,1,1,7,0,1,0,0,0,0,1,1,-1.7705168,-1.3417779
822,1,1,7,2,2,1,2,2,2,2,2,-.064017087,.47236976
823,1,1,7,1,2,2,1,2,1,0,2,-.31552058,-.40504989
824,1,1,7,1,3,1,2,3,3,1,3,1.5962187,-.060567442
825,1,0,7,2,2,2,1,2,2,1,2,-.064017087,.091056138
826,1,0,7,1,2,0,3,2,1,3,0,-.73889905,.71862441
828,1,0,7,0,1,2,1,2,1,0,3,-.31091756,-.58217269
829,0,0,7,2,2,0,0,3,3,0,3,1.0915484,-1.4586514
830,0,0,7,3,2,3,1,1,2,3,1,-.71693271,1.3423948
831,0,0,7,1,2,0,2,0,2,0,3,-.29358345,-.80972368
832,0,0,7,0,3,3,2,2,2,1,2,.22404699,.39257726
833,0,0,7,3,3,2,1,2,3,3,3,.9500668,.9313938
834,0,0,7,2,2,2,3,1,2,2,2,-.43684897,1.0795684
835,0,0,7,2,1,1,1,1,1,3,3,-.75504327,.34032068
836,1,0,7,3,3,0,0,3,3,3,3,1.5962187,-.21799618
838,1,1,7,2,3,3,3,3,3,3,3,1.5962187,1.888316
839,1,0,7,0,1,0,2,,3,1,2,-.12158412,-.54330409
840,0,1,7,2,1,,2,2,1,3,3,-.31091756,1.0982903
841,0,0,7,2,2,2,2,2,2,2,2,-.064017087,.77397722
842,1,0,7,1,3,3,0,3,3,1,3,1.5962187,-.27332258
843,0,0,7,1,2,2,1,2,1,2,3,.0061774338,.27232775
844,1,0,7,0,2,1,1,3,1,1,1,-.26844677,-.53172952
845,0,0,7,1,3,3,1,2,2,1,2,.22404699,.089002319
846,0,0,7,1,3,3,1,2,2,1,2,.22404699,.089002319
847,1,0,7,2,3,2,1,2,1,2,1,-.33259287,.44280446
848,1,1,7,1,3,1,1,2,2,1,2,.22404699,-.39136755
849,1,0,7,1,3,3,1,2,2,1,2,.22404699,.089002319
850,0,0,7,0,3,3,1,2,2,1,2,.22404699,-.049906753
851,1,0,7,0,2,1,0,2,1,1,3,.0061774338,-.92272121
852,1,0,7,0,0,1,2,2,,2,0,-1.2493057,.19042993
853,1,0,7,1,2,1,2,1,2,1,0,-.86836565,-.060567442
854,1,0,7,1,2,1,2,1,2,1,3,-.12513666,-.060567442
855,0,0,7,3,2,3,3,3,3,3,3,1.0915484,2.1848817
856,0,0,7,2,2,1,1,2,2,1,2,-.064017087,-.23124489
857,1,0,7,0,1,2,0,2,1,0,2,-.60401618,-1.0938256
858,0,0,7,3,2,3,3,3,2,3,3,.70286113,2.1848817
859,1,0,7,3,3,3,3,3,3,3,3,1.5962187,2.1848817
860,1,1,7,1,2,1,3,2,1,2,1,-.59841353,.55930436
861,1,0,7,0,3,3,3,3,2,2,3,1.0983543,1.1879904
862,0,0,7,3,3,3,3,3,3,3,3,1.5962187,2.1848817
863,0,0,7,2,3,2,3,2,3,3,2,.53782457,1.4625223
864,0,1,7,3,3,3,3,3,3,3,3,1.5962187,2.1848817
865,0,0,7,3,3,3,3,3,3,3,3,1.5962187,2.1848817
866,0,0,7,2,2,1,1,0,1,2,3,-.67297322,.11393275
867,1,0,7,1,2,1,1,2,2,2,2,-.064017087,-.060038511
868,0,0,7,3,1,0,0,3,0,0,2,-.4400169,-1.3850847
869,0,1,7,3,3,3,3,3,3,3,3,1.5962187,2.1848817
870,0,0,7,2,1,2,3,1,1,2,1,-1.2106394,1.0795684
871,1,0,7,3,2,1,0,2,1,1,2,-.31552058,-.46411964
872,1,0,7,3,2,1,3,2,2,1,3,.25828463,.54322469
873,0,0,7,2,1,1,1,2,1,0,1,-.88684392,-.56466365
874,0,0,7,3,2,2,3,2,3,2,2,.20908262,1.2795445
875,0,0,7,1,2,2,1,2,2,1,3,.25828463,-.079788059
876,0,0,7,1,2,1,1,1,1,1,1,-.96225196,-.39136755
877,0,0,7,1,2,1,1,3,2,0,3,.70286113,-.73411167
878,1,0,7,1,2,1,1,2,1,1,2,-.31552058,-.39136755
879,0,0,7,2,2,3,2,2,2,2,2,-.064017087,1.0465374
880,0,0,7,2,2,1,1,3,2,2,2,.3194226,.11393275
881,1,0,7,1,2,1,1,2,1,1,2,-.31552058,-.39136755
882,0,0,7,2,2,2,2,2,2,2,2,-.064017087,.77397722
883,0,0,7,2,2,1,3,2,0,2,2,-.43342707,.75831765
884,1,0,7,0,2,1,1,2,2,2,2,-.064017087,-.19130896
885,1,0,7,2,1,3,0,0,1,2,0,-1.7839738,.46489948
886,1,1,7,3,2,2,1,1,0,0,0,-1.3708514,-.059613187
887,1,0,7,0,1,2,1,2,2,1,3,-.016713744,-.20908786
888,1,0,7,2,2,1,0,2,2,0,2,-.064017087,-.99534655
889,0,0,7,3,2,1,1,2,2,2,2,-.064017087,.25954804
890,1,1,7,0,0,0,0,0,0,0,0,-2.4811723,-1.9067848
891,1,1,7,2,2,2,2,1,1,2,2,-.69655955,.77397722
892,1,0,7,3,1,1,2,3,3,3,2,.39187685,.96674854
893,1,0,7,2,2,2,1,2,1,1,2,-.31552058,.091056138
894,1,1,7,3,2,2,1,2,2,1,2,-.064017087,.23338215
895,1,1,7,3,3,2,2,2,1,1,0,-.45576537,.60748893
896,1,0,7,,,,,,,,,,
897,0,0,7,2,2,2,1,2,2,2,2,-.064017087,.44280446
898,1,0,7,0,1,1,1,0,0,3,2,-1.5321373,-.012288463
899,0,0,7,0,3,2,1,2,1,1,0,-.45576537,-.20908786
900,0,0,7,0,3,2,1,2,1,1,0,-.45576537,-.20908786
901,1,0,7,1,1,3,1,3,2,0,1,-.29803103,-.25953251
902,0,0,7,3,3,2,2,2,2,2,2,.22404699,.93756354
903,1,0,7,0,3,0,3,0,3,0,3,.59864229,-.97396302
904,1,1,7,1,3,3,0,0,0,2,2,-.95260525,.21750815
905,0,0,7,3,2,3,2,3,3,2,3,1.0915484,1.2419208
