Folio,Género,Edad,Escuela,Grit1,Grit2,Grit3,Grit4,Grit5,Grit6,Grit7,Grit8,ThetaPE,ThetaCI
165,1,1,2,2,2,0,1,2,1,0,3,.0061774338,-.94374251
166,1,0,2,1,2,1,1,2,1,0,3,.0061774338,-.73411167
167,1,1,2,2,2,2,2,1,1,1,1,-.96225196,.44643846
168,1,2,2,1,2,1,2,3,1,2,3,.4775022,.30004558
169,0,1,2,3,2,2,2,1,2,2,2,-.43684897,.93756354
170,1,2,2,2,2,2,2,2,2,0,2,-.064017087,.21204953
171,0,1,2,0,2,1,1,1,2,1,1,-.71693271,-.53172952
172,1,0,2,2,2,2,1,2,1,0,3,.0061774338,-.20861302
173,0,1,2,1,1,2,2,1,1,1,1,-1.2106394,.27485308
174,1,1,2,1,2,1,3,1,0,1,2,-.85682172,.12943149
175,0,1,2,2,2,2,2,2,2,2,2,-.064017087,.77397722
176,1,2,2,1,2,1,2,2,2,2,2,-.064017087,.30004558
177,1,2,2,0,1,2,3,1,2,2,1,-.99113524,.83305186
178,0,1,2,1,3,0,0,3,3,2,3,1.5962187,-.81147075
179,1,1,2,1,2,1,1,1,1,1,1,-.96225196,-.39136755
180,1,1,2,1,1,1,1,2,1,2,2,-.60401618,-.060038511
181,1,1,2,1,3,1,0,3,2,0,3,1.0983543,-1.1605165
182,1,0,2,3,2,2,1,0,1,2,3,-.67297322,.60290915
183,1,1,2,2,2,2,2,2,2,2,2,-.064017087,.77397722
184,1,1,2,2,2,1,1,2,2,1,2,-.064017087,-.23124489
185,1,1,2,1,1,0,1,2,2,0,0,-.77164465,-1.1110746
186,1,1,2,3,0,1,3,0,1,3,0,-2.0827305,1.4253426
187,1,1,2,0,2,0,0,3,2,0,3,.70286113,-1.9067848
188,1,1,2,0,2,1,1,1,0,0,2,-.85682172,-.91184765
189,1,1,2,2,1,0,1,2,2,2,2,-.33721483,-.15862329
191,0,1,2,3,2,1,2,1,1,2,2,-.69655955,.63483679
192,1,1,2,1,2,2,2,2,1,1,2,-.31552058,.27485308
193,0,0,2,1,2,2,2,2,2,1,2,-.064017087,.27485308
195,0,1,2,1,1,1,1,0,0,0,1,-1.7705168,-.73411167
196,1,1,2,1,2,1,1,2,2,1,2,-.064017087,-.39136755
197,0,1,2,1,3,0,0,2,2,0,2,.22404699,-1.6141624
198,1,1,2,0,1,0,2,2,2,0,0,-.77164465,-1.0572901
199,1,0,2,0,3,1,0,0,3,0,3,.59864229,-1.3841718
200,0,1,2,0,3,0,0,3,3,0,3,1.5962187,-1.9067848
201,1,1,2,1,2,0,1,3,3,1,2,.6538915,-.70078504
202,0,1,2,0,2,,1,3,3,0,3,1.0915484,-1.0223658
203,0,1,2,3,0,0,1,1,3,2,1,-1.0000048,-.0057832943
204,0,0,2,0,2,2,2,2,2,3,2,-.064017087,.83153886
205,0,0,2,1,2,1,1,2,2,1,2,-.064017087,-.39136755
206,1,2,2,2,2,1,1,2,2,1,2,-.064017087,-.23124489
207,0,0,2,1,2,3,0,2,1,0,0,-.73889905,-.75422382
208,0,1,2,2,2,2,2,2,2,2,2,-.064017087,.77397722
209,0,1,2,1,2,1,2,1,2,2,2,-.43684897,.30004558
210,1,2,2,0,2,1,0,3,2,0,3,.70286113,-1.3841718
211,1,1,2,1,1,0,1,1,0,1,0,-1.6527984,-.70078504
212,0,0,2,3,2,2,2,2,2,2,2,-.064017087,.93756354
213,1,0,2,2,2,0,0,3,3,0,3,1.0915484,-1.4586514
214,1,1,2,3,2,1,2,1,2,0,3,-.12513666,-.035198513
215,0,2,2,2,1,1,2,1,1,2,1,-1.2106394,.47236976
216,0,1,2,3,3,1,1,3,3,1,3,1.5962187,-.1127855
217,0,0,2,2,2,2,1,1,1,1,2,-.69655955,.091056138
218,0,1,2,1,2,1,2,2,2,2,2,-.064017087,.30004558
219,0,2,2,1,1,1,1,1,1,1,3,-.75504327,-.39136755
220,0,1,2,2,3,1,2,1,0,1,2,-.61180043,.11516648
221,1,1,2,1,2,2,1,0,2,2,1,-.98311651,.27232775
222,0,1,2,2,1,2,1,2,2,1,2,-.33721483,.091056138
223,1,1,2,2,1,1,0,2,2,1,2,-.33721483,-.57591611
224,0,1,2,2,2,1,0,2,2,2,2,-.064017087,-.20130731
225,1,1,2,3,2,1,0,2,3,0,3,.57535625,-.90122563
226,0,0,2,1,2,2,2,2,2,2,3,.25828463,.61830294
227,0,1,2,2,2,1,0,3,3,0,3,1.0915484,-.99534655
