Folio,Género,Edad,Escuela,Max1,Max2,Max3,Max4,Max5,Max6,Max7,Max8,Max9,Max10,Max11,Max12,Max13,Max14,Max15,ThetaBA,ThetaCon,ThetaDD
33,0,2,1,2,2,1,1,3,2,3,1,2,1,3,1,2,1,1,-.029486129,.48924264,-.39816651
34,1,2,1,2,3,1,1,2,3,3,2,3,2,3,1,2,3,3,.51666284,.48924264,-.052051567
35,0,2,1,2,1,0,1,0,2,1,1,3,0,2,1,1,0,0,-2.0075986,-.9803279,-.71527869
36,0,3,1,2,1,0,0,2,1,3,0,2,1,2,0,2,0,1,-.31357718,-.18181866,-2.0206969
37,0,1,1,3,3,1,0,0,3,3,2,2,1,3,0,1,1,0,-1.3619994,.45528537,-.71067828
38,0,1,1,2,3,2,2,1,3,3,2,2,1,3,1,1,1,1,-.67925137,.25805777,.62952048
39,0,1,1,2,1,1,1,1,2,3,1,2,1,3,0,2,1,2,-.42456412,.48924264,-.56970984
40,0,2,1,2,0,0,0,1,2,2,0,1,1,3,1,2,0,1,-.67925137,-.077705279,-1.6966447
41,0,1,1,1,2,1,2,2,2,3,2,3,2,3,2,2,1,1,.083516158,.36349842,.54576206
42,1,2,1,2,1,0,1,2,2,3,1,2,1,3,1,2,0,0,-.5276829,.48924264,-.71527869
43,0,3,1,1,2,1,1,1,3,3,2,2,1,3,2,2,2,1,-.67925137,.36349842,.143538
44,0,2,1,2,2,0,1,2,3,3,1,3,2,3,1,3,1,1,.083516158,.89192474,-.71527869
45,0,2,1,3,1,2,3,1,3,3,3,3,2,3,1,3,2,1,-.27041367,1.1779282,1.2985462
46,0,1,1,2,3,2,2,2,3,3,2,3,2,3,2,2,3,1,.083516158,.48924264,.78642613
47,0,1,1,2,2,0,1,1,1,2,1,2,1,2,1,2,1,1,-.67925137,-.55206549,-.71527869
48,1,2,1,3,0,1,1,0,2,3,1,3,0,3,0,1,1,3,-1.2128097,.45528537,-.56970984
49,1,1,1,3,3,0,1,2,2,3,0,2,1,3,1,1,1,2,-.065269858,.45528537,-1.108456
50,0,2,1,2,2,3,2,1,3,3,3,3,2,3,2,3,2,2,-.010361644,.89192474,1.3165559
51,0,2,1,3,1,1,1,1,1,3,1,0,1,3,0,2,0,0,-.92631775,.696024,-.56970984
52,1,2,1,3,3,1,0,0,2,3,2,2,0,3,0,2,1,0,-2.0075986,.696024,-.71067828
53,0,1,1,2,2,2,2,3,3,2,2,1,3,3,3,3,3,2,1.1242504,.16463797,.93773198
54,0,1,1,2,3,2,2,2,2,3,2,2,2,3,1,2,2,2,.30029538,.48924264,.62952048
55,0,1,1,1,1,0,1,0,1,3,1,0,0,3,1,,1,1,-1.588267,.47555479,-.71527869
56,0,2,1,2,1,0,1,3,2,3,0,3,2,3,0,1,1,2,.64446807,.25805777,-1.3550699
57,0,2,1,2,2,0,1,3,2,3,1,2,1,3,1,2,3,3,.56374979,.48924264,-.71527869
58,0,2,1,2,3,1,1,0,1,3,1,1,0,3,2,2,1,0,-2.0075986,.48924264,-.19963144
59,1,3,1,2,1,3,3,2,2,2,2,2,2,3,2,2,1,2,.30029538,-.077705279,1.3780514
60,0,2,1,1,3,1,2,1,2,3,1,2,1,3,1,3,3,1,-.67925137,.74519873,.034030739
61,1,2,1,2,1,1,1,2,1,3,1,3,1,3,1,2,1,2,-.065269858,.48924264,-.39816651
