Folio,Escuela,Género,Edad,Ag1,Ag2,Ag3,Ag4,Ag5,Ag6,Ag7,Ag8,Ag9,Ag10,Ag11,Ag12,Ag13,Ag14,Ag15,Ag16,Ag17,Ag18,Ag19,Ag20,Ag21,Ag22,Ag23,Ag24A,Ag24B,Ag24C,Ag24D,Ag24E,Ag25,Ag26,Ag27,Ag28,Ag29,Ag30,Ag31,Ag32,Ag33,Ag34,Ag35,Ag36,Ag37,Ag38,Ag39,Ag40,Ag41,Ag42,Ag43,Ag44,Ag45,Ag46,Ag47,Ag48,Ag49,Ag50,Ag51,Ag52,Ag53,Ag54,Ag55,Ag56,AgrBer,AgrProv,AgrFuria,PrConsNegAgr,ImpConsNegAgr,ExpConsNegAgr
398,3,1,1,0,1,1,1,0,3,0,0,1,2,0,0,2,0,0,0,2,0,0,3,3,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.234678745269775,-.92270309,-.72042376,8,9,0
399,3,1,2,2,1,0,0,0,3,2,3,3,3,3,3,3,3,3,1,3,4,0,3,2,2,0,1,0,0,0,0,0,1,1,0,1,3,0,2,2,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,2,0,0,1.733237147331238,.26327351,.071191259,24,22,0
400,3,1,2,2,1,1,1,0,1,0,,0,2,,1,0,2,2,,2,4,,,3,0,,0,0,0,0,0,,0,1,,1,,,,,,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-.6260668635368347,-.25442028,-.72042376,6,12,0
402,3,0,0,0,1,3,1,0,1,1,1,3,0,1,1,1,1,3,3,4,3,2,3,2,2,2,1,0,0,0,0,1,1,1,1,1,2,3,2,1,3,3,1,3,2,1,1,1,3,1,0,3,1,1,0,0,1,1,1,0,0,0,0,.1911658197641373,.82754982,-.72042376,9,17,11
403,3,0,0,0,1,1,1,1,2,0,1,1,1,0,0,1,1,2,2,3,2,1,2,2,2,2,1,0,0,0,0,1,0,1,0,3,0,0,2,1,0,0,2,0,2,0,0,1,0,0,1,1,0,1,1,0,2,0,2,0,1,0,2,.3426695764064789,.13605925,.62508041,7,7,4
404,3,1,0,1,2,0,1,1,3,1,2,2,2,3,3,3,3,2,2,4,3,0,2,2,0,2,0,1,0,0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,1,2,0,1,1,0,0,1,.3363799452781677,.06027035,.63256049,21,16,8
406,3,,0,0,4,0,1,2,0,2,0,1,0,1,2,3,0,3,0,0,0,0,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1,1,2,1,0,-.5373052954673767,-.92270309,.92290616,7,2,4
407,3,0,0,0,1,1,1,1,3,1,3,3,2,3,3,2,2,2,2,3,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,2,1,2,1,2,2,2,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.234678745269775,-.92270309,-.72042376,21,16,3
408,3,0,1,0,1,0,,0,3,0,3,3,,3,,,3,0,0,3,0,0,3,3,2,,0,0,0,0,1,0,0,,,,,,0,,,0,0,1,0,0,,0,,0,0,0,0,0,0,1,,,0,0,0,,0,-.3170652687549591,-.63546532,-.65510678,15,1,0
409,3,0,0,1,1,0,1,1,2,1,2,3,2,1,3,3,1,2,1,4,4,1,3,2,1,0,0,0,0,0,1,1,1,2,0,0,2,1,0,2,0,2,2,1,3,0,1,1,2,0,1,2,0,0,1,1,0,1,1,1,0,0,0,.174985870718956,.72269017,.20945761,17,12,6
