Folio,Escuela,Género,Edad,Ag1,Ag2,Ag3,Ag4,Ag5,Ag6,Ag7,Ag8,Ag9,Ag10,Ag11,Ag12,Ag13,Ag14,Ag15,Ag16,Ag17,Ag18,Ag19,Ag20,Ag21,Ag22,Ag23,Ag24A,Ag24B,Ag24C,Ag24D,Ag24E,Ag25,Ag26,Ag27,Ag28,Ag29,Ag30,Ag31,Ag32,Ag33,Ag34,Ag35,Ag36,Ag37,Ag38,Ag39,Ag40,Ag41,Ag42,Ag43,Ag44,Ag45,Ag46,Ag47,Ag48,Ag49,Ag50,Ag51,Ag52,Ag53,Ag54,Ag55,Ag56,AgrBer,AgrProv,AgrFuria,PrConsNegAgr,ImpConsNegAgr,ExpConsNegAgr
1,1,0,3,2,1,3,2,1,3,0,3,3,2,2,2,2,2,1,1,4,4,0,2,2,1,1,1,0,0,0,0,0,0,0,1,0,3,0,2,1,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-.2344677299261093,-.26885733,-.060695779,19,19,0
2,1,0,2,3,3,0,1,1,3,0,2,3,1,3,2,3,3,2,2,2,2,0,2,3,2,1,0,0,0,0,1,0,0,1,1,1,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-.2344677299261093,.0093125962,-.060695779,20,24,0
3,1,1,1,3,2,2,1,0,3,1,3,3,3,3,3,3,3,0,1,3,2,0,2,3,3,1,0,0,0,0,1,2,2,1,1,1,2,0,0,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,-.3742443025112152,1.3622154,.45364156,24,11,0
4,1,1,3,2,1,0,1,0,3,0,3,0,3,1,0,3,0,0,0,0,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,0,3,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-.628503680229187,-.92270309,-.72042376,13,20,0
5,1,1,2,0,1,1,1,0,3,0,3,3,3,3,3,3,3,2,1,4,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,2,0,3,3,1,1,0,2,2,1,1.227182507514954,-.26885733,.97622341,24,10,2
6,1,1,2,3,1,0,1,1,3,0,3,3,3,3,1,3,3,0,0,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-.6260668635368347,-.92270309,-.72042376,22,1,0
7,1,0,2,1,1,0,1,1,2,1,2,2,1,2,2,2,2,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,.4094936847686768,-.92270309,-.72042376,15,14,0
8,1,0,2,0,0,0,1,2,3,0,3,3,3,3,2,2,3,1,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-.1512518376111984,-.92270309,.20945761,22,7,0
9,1,1,1,3,3,0,1,0,1,0,3,2,1,3,2,3,2,2,1,3,4,0,3,3,0,1,0,0,0,0,1,0,0,1,0,1,3,0,3,1,0,3,0,3,2,0,0,1,0,0,1,0,0,0,0,1,3,0,0,0,3,2,0,.0104876849800348,-.47517884,.62810987,17,15,2
10,1,0,2,0,1,1,2,2,3,0,3,3,2,3,3,2,3,1,1,2,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-.628503680229187,-.92270309,-.72042376,22,9,0
11,1,0,2,1,1,1,1,2,3,2,3,3,3,3,3,3,3,1,1,0,0,1,3,3,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-.4871958792209625,-.47517884,-.72042376,24,9,0
12,1,1,2,0,1,1,1,1,3,1,3,3,3,3,3,3,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-.628503680229187,-.92270309,-.72042376,24,24,0
13,1,0,1,1,1,1,1,1,3,0,2,3,2,2,2,2,3,1,1,3,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,3,2,2,2,3,3,2,3,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-.6260668635368347,-.92270309,-.72042376,19,21,1
14,1,0,1,1,1,0,2,1,3,1,3,3,3,3,3,3,3,2,1,3,4,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,3,1,3,3,3,3,3,3,3,0,0,1,1,0,1,0,0,2,0,1,2,0,1,0,0,0,0,.3363799452781677,-.92270309,-.72042376,24,24,5
15,1,1,2,0,1,2,1,3,3,1,2,1,1,2,2,1,2,1,2,3,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,1,3,1,1,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,1,0,-.0233920495957136,-.92270309,.50915176,14,12,2
17,1,1,2,1,1,0,1,0,3,1,3,3,3,3,2,3,2,2,1,3,2,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,1,1,3,2,2,0,2,1,0,2,0,0,2,0,1,2,1,1,0,0,0,1,.6146154403686523,-.92270309,.071426168,22,12,9
18,1,0,1,0,1,0,1,2,2,0,3,3,3,3,2,3,3,1,1,2,1,0,3,3,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-.628503680229187,-.47517884,-.72042376,22,10,0
19,1,1,2,1,3,0,1,1,2,1,3,2,3,3,3,3,2,1,2,3,1,1,2,2,2,0,0,0,0,0,1,2,2,1,0,1,1,0,2,1,3,1,2,2,2,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-.1881153732538223,1.1500251,-.72042376,21,14,2
20,1,0,2,0,1,0,2,0,3,0,3,3,2,3,3,3,3,1,1,4,0,0,3,2,3,0,1,0,0,0,0,0,0,1,0,2,3,3,3,3,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-.6260668635368347,-.47517884,-.72042376,23,23,0
21,1,0,2,1,1,3,0,3,3,0,3,3,3,3,3,3,3,2,1,3,2,0,3,3,0,0,1,0,0,0,0,0,0,1,1,2,3,2,3,3,3,3,3,3,3,0,0,2,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,.1316162347793579,.0093125962,-.13965733,24,24,4
22,1,0,1,0,1,1,1,2,3,1,2,2,1,2,1,2,3,1,1,3,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,2,1,2,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,.1042803674936295,-.92270309,.071426168,16,14,0
23,1,0,2,2,1,0,1,1,3,0,3,3,2,3,3,3,3,2,2,4,2,3,3,0,1,1,0,0,0,0,1,0,0,1,0,1,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,1,.4345725476741791,-.47517884,.45600644,23,24,0
24,1,0,2,2,3,0,1,1,3,2,3,2,2,3,3,2,3,1,1,3,2,0,2,3,1,0,0,0,0,0,1,2,0,2,1,2,3,2,3,2,3,3,3,3,3,0,0,0,1,0,2,0,0,1,0,2,2,0,1,2,0,1,1,.6097737550735474,.83151853,1.1159569,21,23,4
25,1,0,1,0,1,1,1,2,3,0,2,3,3,2,1,3,1,1,1,3,0,1,3,3,1,0,0,0,0,0,1,0,0,0,0,0,3,0,2,1,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-.6260668635368347,-.92270309,-.72042376,18,17,0
26,1,0,1,0,2,0,1,0,3,1,3,3,3,3,3,3,3,2,1,4,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.234678745269775,-.92270309,-.72042376,24,6,0
27,1,0,2,1,1,0,1,2,3,1,3,2,2,2,2,2,3,1,1,3,0,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-.6260668635368347,-.92270309,-.72042376,19,19,0
28,1,0,3,1,0,0,0,0,3,0,3,3,2,3,2,2,3,0,0,4,0,0,3,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0,.4094936847686768,-.92270309,-.72042376,21,9,2
29,1,1,2,2,3,1,1,0,3,1,3,3,3,2,3,3,3,2,2,4,0,3,2,2,0,2,0,1,0,1,1,2,0,0,1,0,2,0,1,3,2,2,2,3,3,1,0,1,2,0,2,3,0,3,1,3,3,3,2,1,0,0,1,1.99666440486908,.49916396,.63256049,23,18,12
30,1,0,1,1,0,1,1,3,3,0,3,3,1,2,2,2,2,0,1,3,2,3,3,2,2,0,1,0,0,0,0,0,0,2,0,1,3,0,0,2,3,2,2,3,2,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,0,0,1,.8503924608230591,-.28949711,.071426168,18,17,0
31,1,1,1,3,1,0,1,1,2,2,2,3,2,1,1,3,2,1,1,2,4,1,3,3,1,0,0,0,0,1,1,0,0,1,0,1,2,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-.2344677299261093,-.47517884,-.13965733,16,12,0
32,1,1,3,1,1,1,1,0,3,1,3,3,3,3,2,3,3,1,1,3,4,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,.4094936847686768,-.92270309,-.72042376,23,15,0
33,1,0,2,1,3,0,0,0,3,1,3,3,1,3,3,2,3,0,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,1,0,2,3,0,3,2,3,3,3,2,3,0,0,0,0,0,1,0,0,1,0,1,2,0,1,0,0,0,1,.3363799452781677,-.47517884,.071426168,21,22,2
34,1,1,2,2,1,0,2,0,2,0,3,3,1,3,2,1,3,2,3,3,2,0,3,1,0,2,0,0,0,0,1,0,0,0,0,0,2,0,2,3,3,3,3,3,2,0,0,0,0,0,0,0,0,2,0,0,3,0,2,0,0,0,1,.4821376204490662,-.92270309,.071426168,18,21,2
35,1,0,2,1,1,1,1,1,3,0,1,3,2,1,0,2,1,1,1,3,0,2,2,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-.3742443025112152,-.47517884,-.72042376,13,9,0
36,1,0,3,1,2,0,1,3,3,1,3,3,3,3,2,2,3,1,0,3,1,1,3,3,2,0,1,0,0,0,0,0,0,1,0,1,3,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-.6260668635368347,-.47517884,-.72042376,22,24,0
37,1,0,1,1,1,0,1,1,1,0,2,3,0,2,1,0,3,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.234678745269775,-.47517884,-.72042376,12,7,0
38,1,0,1,0,2,2,1,1,3,0,3,3,2,3,3,2,3,2,1,3,2,0,3,1,0,0,0,0,0,0,1,0,0,1,0,1,3,2,3,3,3,3,3,3,3,0,0,1,0,0,1,0,0,2,0,1,1,0,1,0,0,0,1,.1316162347793579,-.47517884,.071426168,22,24,4
39,1,0,1,0,1,1,1,1,2,1,3,2,2,3,2,3,3,1,0,2,0,0,3,3,1,0,0,0,0,0,1,0,0,1,0,2,1,0,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.234678745269775,-.47517884,.071426168,20,11,0
40,1,0,2,0,0,0,1,1,3,0,3,3,1,3,3,3,3,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.234678745269775,-.92270309,-.72042376,22,8,0
41,1,0,1,2,0,0,1,0,3,2,2,3,2,2,2,3,2,1,1,2,0,2,3,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,3,2,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,.3363799452781677,-.92270309,-.72042376,19,12,1
42,1,1,2,1,0,0,1,0,1,0,2,3,1,1,0,2,1,1,1,3,1,0,3,3,0,0,0,0,0,0,1,0,0,1,0,1,2,0,3,1,3,2,3,3,3,0,0,1,0,1,1,0,0,1,0,1,2,1,0,0,0,0,0,.3113850057125092,-.47517884,-.72042376,11,20,4
43,1,0,3,0,0,0,1,1,2,2,,2,2,2,,2,2,1,1,2,0,0,3,3,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-.1881153732538223,-.92270309,-.72042376,12,6,0
44,1,0,2,1,2,1,2,1,3,0,3,3,3,3,3,3,3,2,2,4,2,0,2,2,1,2,0,0,0,0,1,0,0,2,0,1,3,0,3,3,3,3,3,3,3,0,0,1,0,0,1,0,0,3,0,2,3,1,2,0,1,0,1,1.269083499908447,-.28949711,.45600644,24,24,5
45,1,0,2,0,0,0,1,0,3,0,3,3,3,3,3,3,3,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,1,0,1,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.234678745269775,-.47517884,-.72042376,24,24,0
46,1,0,1,0,0,0,2,1,3,0,3,3,1,2,2,3,3,0,0,0,0,0,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.234678745269775,-.92270309,-.72042376,20,1,0
47,1,0,1,0,1,0,1,1,2,0,2,2,2,2,2,2,1,1,1,2,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-.2344677299261093,-.92270309,-.72042376,15,8,0
48,1,1,2,2,2,0,2,1,3,1,3,3,2,2,2,2,2,1,2,3,4,0,1,2,0,1,0,1,0,0,1,0,0,2,0,4,3,1,2,0,3,3,2,2,3,1,0,3,0,0,2,1,0,3,1,3,2,3,3,1,0,0,1,2.042446136474609,-.28949711,.63256049,19,18,10
49,1,1,1,2,1,0,1,0,3,0,3,3,2,3,2,2,3,1,1,0,0,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-.6260668635368347,-.92270309,-.060695779,21,15,1
50,1,0,2,2,0,1,2,1,3,3,3,3,1,3,1,2,2,2,1,3,4,2,3,1,1,0,1,0,0,0,0,1,0,1,0,3,1,1,2,2,1,1,1,3,0,0,0,2,0,0,2,0,0,1,1,1,3,0,1,0,0,1,1,.4283271133899689,.13605925,.41140652,18,11,5
51,1,0,2,0,1,1,1,2,3,1,3,3,3,3,2,2,3,1,1,3,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1,2,0,1,2,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-.5373052954673767,-.47517884,-.72042376,22,12,0
52,1,1,2,0,1,1,1,1,3,0,3,3,3,3,3,3,3,0,0,4,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.234678745269775,-.47517884,-.72042376,24,5,0
53,1,0,1,1,1,0,1,0,3,0,3,3,3,2,3,3,2,2,2,3,1,0,2,3,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,2,1,1,3,0,0,0,2,0,0,0,0,1,2,2,3,1,3,1,3,1,0,0,2,1.250470280647278,-.47517884,.80549306,22,8,5
54,1,0,1,1,2,1,1,0,1,3,1,2,1,1,1,1,2,2,2,2,1,1,3,2,1,1,1,0,0,0,0,0,2,1,0,2,1,1,1,2,1,2,1,2,2,1,0,0,2,0,0,0,0,1,1,2,0,1,1,1,0,0,0,.4345725476741791,.51721418,.20945761,10,12,4
55,1,0,1,0,1,0,1,0,3,1,2,3,3,2,2,3,3,1,0,3,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,.4345725476741791,-.26885733,-.72042376,21,7,0
56,1,0,2,1,1,1,2,0,3,0,2,0,2,2,1,2,2,0,0,4,0,0,3,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.234678745269775,-.47517884,-.72042376,14,3,0
57,1,0,2,0,2,2,1,1,2,0,2,3,2,0,0,2,2,1,1,3,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,2,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-.5373052954673767,-.92270309,-.72042376,13,22,0
58,1,0,2,1,1,1,1,1,3,0,3,3,2,3,3,3,3,1,1,2,1,0,3,3,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,-.2344677299261093,.0093125962,-.060695779,23,4,1
59,1,1,3,1,1,1,1,1,3,0,2,2,0,2,2,1,2,1,1,2,2,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,.1316162347793579,-.92270309,-.72042376,14,6,2
60,1,0,2,1,1,1,1,1,2,0,3,3,2,2,2,2,3,2,2,3,0,0,3,2,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-.1089030727744102,-.47517884,-.72042376,19,10,0
61,1,1,2,2,1,2,1,0,3,0,3,3,2,3,2,3,2,2,1,4,0,0,3,2,0,0,1,0,0,0,0,0,0,1,0,1,3,3,3,1,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,3,0,.3363799452781677,-.47517884,-.037932437,21,21,0
62,1,0,2,1,1,1,1,3,3,0,3,2,0,1,0,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-.3742443025112152,-.92270309,-.72042376,11,12,0
63,1,1,2,2,1,0,1,2,3,0,3,3,2,3,2,2,2,0,0,0,0,0,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,-.5373052954673767,-.096758984,-.13965733,20,5,4
64,1,0,2,2,0,0,1,1,3,1,3,3,2,2,1,2,2,2,1,3,2,0,3,0,0,1,0,0,0,0,1,1,0,1,0,2,2,0,2,2,3,2,3,3,3,0,0,1,1,0,1,0,0,0,1,2,1,2,1,0,0,1,0,.8474248051643372,.13605925,-.13965733,18,20,3
65,1,1,2,1,1,1,1,1,3,1,3,2,2,2,2,2,2,1,1,2,2,1,2,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,2,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-.1954581886529922,-.26885733,-.72042376,18,13,0
66,1,0,3,0,1,0,2,1,3,1,2,2,3,2,2,3,3,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,2,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,.6430109739303589,-.92270309,-.72042376,20,20,0
67,1,1,2,1,0,0,1,3,3,1,2,3,2,2,1,2,2,0,0,3,0,0,3,2,2,0,0,0,0,0,1,0,0,0,0,0,3,0,2,1,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.234678745269775,-.92270309,-.72042376,17,19,0
68,1,0,1,1,1,0,1,2,3,0,3,2,2,3,3,2,3,0,1,1,0,0,3,3,1,0,1,0,0,0,0,0,0,1,0,1,3,0,3,3,3,3,3,3,3,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,.1042803674936295,-.47517884,-.72042376,21,24,2
69,1,0,1,1,1,0,1,2,3,0,3,3,3,3,3,3,3,1,1,3,1,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,2,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,.3608308136463165,-.92270309,-.72042376,24,21,0
70,1,0,3,1,1,0,2,2,1,0,0,1,0,0,0,0,0,1,1,4,0,0,3,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-.587720513343811,-.47517884,-.060695779,2,4,0
71,1,1,2,2,1,0,1,0,1,0,2,3,1,2,2,3,1,1,0,3,0,0,3,2,1,0,0,0,0,0,1,0,0,1,0,2,3,1,3,0,2,3,3,2,3,0,0,2,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,-.2344677299261093,-.47517884,-.72042376,15,19,4
72,1,0,1,0,2,1,1,1,3,0,3,3,3,3,3,3,3,1,2,4,1,0,3,3,3,0,1,0,0,0,0,0,0,1,1,1,3,1,3,3,3,1,3,3,3,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,.4094936847686768,.0093125962,.45600644,24,22,1
73,1,1,1,1,0,0,1,0,3,1,2,2,2,3,2,2,3,0,0,3,2,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,3,0,0,1,3,3,0,2,3,0,0,0,1,0,0,0,0,1,0,3,2,3,1,0,0,0,0,1.457142949104309,-.096758984,-.72042376,19,15,2
74,1,0,1,1,1,1,2,0,2,1,3,3,1,3,3,1,2,2,2,4,4,0,2,2,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,3,3,2,1,3,3,0,0,0,2,0,0,0,0,2,1,2,0,1,1,0,0,0,0,.4345725476741791,.13605925,-.72042376,18,17,4
75,1,0,2,1,1,0,1,1,3,0,3,3,3,3,3,3,3,2,2,4,2,1,3,2,2,1,0,0,0,0,1,0,0,0,0,0,3,0,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,0,2,2,1,2,0,0,0,0,1.099730730056763,-.92270309,-.72042376,24,24,1
76,1,0,2,1,1,1,2,3,3,0,2,2,1,2,2,0,3,1,1,3,2,0,2,3,1,1,0,0,0,0,1,0,0,1,0,2,3,2,2,3,3,2,2,2,3,1,0,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,.3363799452781677,-.47517884,.071426168,15,20,3
77,1,1,2,1,1,1,2,1,2,1,2,3,1,1,2,2,2,1,1,3,4,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,1,1,1,2,1,0,0,1,0,2,0,1,0,0,1,1,1,1,0,1,1,0,.4094936847686768,-.096758984,.30809569,15,9,5
78,1,0,2,1,1,0,1,0,3,2,2,3,3,3,2,2,3,1,2,3,0,2,3,3,1,1,0,0,0,0,1,0,0,2,0,2,2,1,1,2,3,2,2,3,2,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,0,0,1,.3113850057125092,-.28949711,.63256049,21,17,1
79,1,0,2,0,1,0,1,2,2,0,1,2,2,1,1,2,2,1,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,2,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.234678745269775,-.92270309,-.72042376,13,13,1
80,1,1,2,2,1,1,1,0,3,0,3,3,3,3,3,3,3,1,1,3,4,2,3,3,2,0,1,0,0,0,0,2,0,0,0,0,3,0,1,2,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,.4094936847686768,.078702599,-.72042376,24,21,0
81,1,0,2,0,1,0,1,1,3,0,3,3,1,2,2,3,3,1,0,2,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,3,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,-.1593618392944336,-.92270309,-.72042376,20,11,2
82,1,1,2,1,1,1,1,1,2,2,3,3,1,2,1,2,2,1,1,2,4,1,2,2,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,.1042803674936295,-.26885733,-.72042376,16,7,0
83,1,0,2,3,1,0,1,0,3,1,2,3,2,2,1,3,1,1,1,3,2,0,2,2,0,1,0,0,0,0,1,2,0,0,1,0,1,1,1,1,1,1,1,1,1,2,2,0,1,0,1,0,0,0,0,2,3,3,2,0,2,0,1,1.684201002120972,.49916396,.60511768,17,8,4
84,1,0,2,1,0,0,0,0,0,0,1,0,0,1,1,3,3,0,0,4,4,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,-.2344677299261093,-.92270309,.50804299,9,7,0
85,1,1,3,2,1,0,2,2,1,2,0,2,0,0,0,1,0,1,1,1,4,1,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-1.234678745269775,-.92270309,.20945761,4,2,3
86,1,0,2,1,2,0,2,2,3,0,3,3,2,3,3,3,2,1,1,0,1,0,1,3,1,0,1,0,0,0,0,0,0,2,0,1,2,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,2,1,1.114842534065247,-.28949711,.4980689,22,16,0
87,1,1,1,2,1,1,1,2,3,3,3,3,2,3,3,3,3,1,1,4,2,0,2,3,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,2,2,1,2,3,1,0,0,0,0,1,0,0,0,1,1,3,2,0,1,1,2,1,0,.782260000705719,.0093125962,.92290616,23,13,2
88,1,0,1,1,1,1,1,1,3,1,2,3,2,3,2,2,2,1,1,2,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-.628503680229187,-.92270309,-.060695779,19,12,0
89,1,0,2,1,3,3,2,2,1,0,0,3,0,3,3,2,3,3,2,3,4,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,2,3,3,3,3,3,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,.360169529914856,-.92270309,-.72042376,15,22,1
