Folio,Escuela,Género,Edad,Sex1,Sex2,Sex3,Sex4,Sex5,Sex6,Sex7,Sex8,Sex9,Sex10,Sex11,Sex12,Sex13,Sex14,Sex15,Sex16,Sex17,Sex18,Sex19,Sex20,Sex21,Sex22,Sex23,Sex24,Sex25,Sex26,Sex27,Sex28,Sex29,Sex30,Sex31,Sex32,Sex33,Sex34,Sex35,Sex36,Sex37,Sex38,Sex39,Sex40,Sex41,Sex42,Sex43,Sex44,Sex45,Sex46A,Sex46B,Sex46C,Sex46D,Sex46E,Sex47,Sex48,Sex49,Sex50,Sex51,Sex52,Sex53,Sex54,Sex55,Sex56,Sex57,Sex58,Sex59,Sex60,Sex61,Sex62,Sex63,Sex64,Sex65,Sex66,Sex67,Sex68,Sex69,Sex70,Sex71,Sex72,Sex73,Sex74,Sex75,PrConsPosSex,PrConsNegSex,ImpConsPosSex,ImpConsNegSex,ExpConsPosSex,ExpConsNegSex,SexCompromiso,SexIncid
1281,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,1,2,2,2,2,2,0,1,0,0,0,0,4,0,0,0,0,0,0,3,2,8,15,9,15,0,0,,-1.2970114
1316,8,0,1,3,0,1,0,2,3,0,1,0,3,3,0,3,3,0,3,0,3,3,0,3,3,0,3,0,3,3,0,2,0,0,0,0,3,4,1,2,0,0,1,3,1,4,4,4,0,0,1,0,0,0,0,4,2,0,3,0,0,3,3,3,3,0,3,0,0,1,0,2,3,4,1,2,4,2,2,2,3,2,9,6,9,6,7,5,.545189380645752,.95864546
1324,8,0,1,0,0,1,2,0,0,0,0,0,0,0,0,3,0,3,1,3,1,3,3,3,1,3,1,3,1,3,3,2,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,3,3,3,3,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,15,3,15,0,0,,-1.2970114
1333,8,0,1,1,0,3,2,0,0,0,0,0,0,0,0,3,1,3,0,2,0,2,2,3,3,3,3,3,3,3,3,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,2,0,3,2,0,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,9,15,0,0,,-.86504501
1272,8,0,1,0,2,1,1,0,0,0,0,0,0,0,0,3,2,3,0,2,0,3,3,3,2,3,0,2,0,3,3,1,2,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,3,3,3,3,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,14,2,14,0,0,,-1.2970114
787,7,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,2,3,2,1,1,3,3,3,2,3,2,3,2,3,3,0,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,3,3,3,3,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,5,13,6,15,0,0,,-1.2970114
74,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,2,2,2,0,2,1,1,3,3,3,3,3,3,3,3,2,1,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,3,0,0,3,3,0,3,3,3,1,1,0,0,0,0,4,0,0,0,0,0,0,3,2,6,5,9,15,0,0,,-1.2970114
208,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,2,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,3,3,2,0,0,9,15,0,0,,-1.2970114
1191,8,0,1,3,0,2,2,0,3,0,3,0,2,0,0,3,1,2,2,0,2,3,2,3,2,3,2,3,2,3,3,2,1,0,1,2,3,3,2,3,0,0,0,3,1,4,4,4,1,0,0,1,0,2,0,3,2,2,1,1,3,3,3,2,3,2,3,0,1,1,0,1,1,2,1,2,3,3,1,1,0,2,5,10,6,15,8,0,.438277393579483,.94809699
998,8,0,1,1,0,0,2,0,0,0,0,0,0,0,0,3,2,3,2,1,2,3,2,3,2,3,1,2,1,3,3,3,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,3,3,3,3,3,3,1,1,0,0,0,0,4,0,0,0,0,0,0,3,2,6,12,4,14,0,0,,-.86504501
813,7,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3,2,3,3,2,2,3,3,3,1,3,1,3,1,3,3,0,1,0,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,0,0,0,0,0,2,7,14,3,15,0,0,,-1.2970114
840,7,0,1,3,1,2,2,0,1,0,1,2,3,2,1,1,1,0,0,1,3,1,2,3,1,2,2,0,0,2,3,1,2,1,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,1,0,1,2,1,2,2,1,2,3,0,1,1,,2,3,4,0,0,0,0,1,2,0,2,4,5,3,10,5,5,-.4630117416381836,-.2906664
105,1,0,1,3,0,2,2,1,2,0,2,0,3,0,0,3,1,3,1,0,0,3,3,3,3,3,3,3,3,3,3,0,1,0,2,2,3,3,2,1,0,0,1,3,1,4,4,4,0,0,0,0,1,0,0,1,2,2,3,0,0,3,3,3,3,3,3,1,1,2,0,1,2,1,1,1,4,4,3,3,1,2,2,12,9,15,7,1,1.283545017242432,.81714344
