Folio,Sexo,Edad,Escuela,P1,P2,P3,Psum,ThetaCR
151,0,1,2,0,0,0,0,-.38948628
152,1,1,2,0,0,0,0,-.38948628
153,1,1,2,0,0,0,0,-.38948628
154,1,0,2,0,0,0,0,-.38948628
155,1,0,2,0,0,0,0,-.38948628
156,0,1,2,0,0,0,0,-.38948628
157,1,0,2,0,0,0,0,-.38948628
158,1,1,2,0,0,0,0,-.38948628
159,1,1,2,0,0,0,0,-.38948628
160,0,0,2,0,0,0,0,-.38948628
161,1,3,2,0,0,0,0,-.38948628
162,1,1,2,0,1,0,1,1.1835277
163,0,2,2,0,0,0,0,-.38948628
164,1,2,2,0,0,0,0,-.38948628
165,1,1,2,0,1,0,1,1.1835277
166,1,0,2,0,0,0,0,-.38948628
167,1,1,2,0,0,0,0,-.38948628
168,1,2,2,0,0,0,0,-.38948628
169,0,1,2,0,0,0,0,-.38948628
170,1,2,2,0,0,0,0,-.38948628
171,0,1,2,0,0,0,0,-.38948628
172,1,0,2,0,0,0,0,-.38948628
173,0,1,2,0,0,0,0,-.38948628
174,1,1,2,1,0,0,1,.28402048
175,0,1,2,0,0,0,0,-.38948628
176,1,2,2,0,,,,-.18134107
177,1,2,2,0,0,0,0,-.38948628
178,0,1,2,0,0,0,0,-.38948628
179,1,1,2,0,0,0,0,-.38948628
180,1,1,2,1,1,0,2,1.3746766
181,1,1,2,0,0,0,0,-.38948628
182,1,0,2,0,0,0,0,-.38948628
183,1,1,2,1,1,1,3,1.7910099
184,1,1,2,0,0,0,0,-.38948628
185,1,1,2,0,0,0,0,-.38948628
186,1,1,2,0,0,0,0,-.38948628
187,1,1,2,0,0,0,0,-.38948628
188,1,1,2,0,1,0,1,1.1835277
189,1,1,2,0,1,0,1,1.1835277
191,0,1,2,0,0,0,0,-.38948628
192,1,1,2,0,0,0,0,-.38948628
193,0,0,2,0,0,0,0,-.38948628
195,0,1,2,0,0,0,0,-.38948628
196,1,1,2,0,1,1,2,1.4384145
197,0,1,2,0,0,0,0,-.38948628
198,1,1,2,0,0,0,0,-.38948628
199,1,0,2,0,0,0,0,-.38948628
200,0,1,2,0,0,0,0,-.38948628
201,1,1,2,0,0,0,0,-.38948628
202,0,1,2,0,0,0,0,-.38948628
203,0,1,2,0,0,0,0,-.38948628
204,0,0,2,0,0,0,0,-.38948628
205,0,0,2,0,0,0,0,-.38948628
206,1,2,2,1,1,0,2,1.3746766
207,0,0,2,0,0,1,1,.38204196
208,0,1,2,0,0,1,1,.38204196
209,0,1,2,0,0,0,0,-.38948628
210,1,2,2,0,0,0,0,-.38948628
211,1,1,2,,,,,
212,0,0,2,0,0,1,1,.38204196
213,1,0,2,0,0,1,1,.38204196
214,1,1,2,1,0,1,2,.64354634
215,0,2,2,0,0,0,0,-.38948628
216,0,1,2,1,1,1,3,1.7910099
217,0,0,2,1,1,1,3,1.7910099
218,0,1,2,0,0,0,0,-.38948628
219,0,2,2,0,0,0,0,-.38948628
220,0,1,2,0,0,0,0,-.38948628
221,1,1,2,0,0,0,0,-.38948628
222,0,1,2,0,0,0,0,-.38948628
223,1,1,2,0,0,0,0,-.38948628
224,0,1,2,0,0,0,0,-.38948628
225,1,1,2,0,0,0,0,-.38948628
226,0,0,2,,,,,
227,0,1,2,1,0,0,1,.28402048
228,0,1,2,0,0,0,0,-.38948628
229,1,1,2,0,0,0,0,-.38948628
230,1,1,2,0,0,0,0,-.38948628
231,0,1,2,0,0,0,0,-.38948628
232,0,1,2,0,0,0,0,-.38948628
233,0,1,2,1,0,0,1,.28402048
234,1,1,2,0,0,0,0,-.38948628
235,1,2,2,0,0,0,0,-.38948628
236,0,0,2,0,0,0,0,-.38948628
