Folio,Género,Edad,Escuela,Tab1,Tab2,Tab3,Tab4,Tab5,Tab6,Tab7,Tab8,Tab9,Tab10,Tab11,Tab12,Tab13,Tab14,Tab15,Tab16,Tab17,Tab18,Tab19,Tab20,Tab21,Tab22,Tab23,Tab24,Tab25,Tab26,Tab27,Tab28,Tab29,Tab30,Tab31,Tab32,Tab33,Tab34,Tab35,Tab36,Tab37,Tab38,Tab39,Tab40,Tab41,Tab42,Tab43,Tab44,Tab45,Tab46,Tab47,Tab48A,Tab48B,Tab48C,Tab48D,Tab48E,Tab48F,Tab48G,Tab49,Tab50,Tab51,Tab52,Tab53,Tab54,Tab55,PrConsPosTab,PrConsNegTab,ImpConsPosTab,ImpConsNegTab,ExpConsPosTab,ExpConsNegTab,CommitTab,TabIncid,PrConsPosTabCP,PrConsPosTabLP,ImpConsPosTabCP,ImpConsPosTabLP,ExpConsPosTabCP,ExpConsPosTabLP
1260,0,1,6,1,2,1,2,2,1,1,1,2,3,1,0,2,1,3,2,2,2,1,1,2,1,2,1,2,4,2,2,4,1,1,,,2,2,2,2,2,,3,,2,4,4,8,3,3,1,0,0,0,0,0,0,3,3,3,3,3,2,2,6,8,9,8,,,.48299885,1.607648,4,5,6,3,1,4
1261,1,1,6,0,2,2,4,2,3,2,0,2,0,2,1,0,1,2,3,2,0,2,3,3,3,3,1,1,0,0,0,0,0,2,2,0,2,0,,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,2,14,8,,0,,.37359414,3,0,3,6,1,0
1271,1,1,8,1,1,1,2,2,1,1,1,1,3,2,1,2,2,1,1,1,3,2,3,2,2,2,1,2,4,2,1,4,1,0,0,0,1,0,1,0,0,2,2,3,5,3,4,6,2,3,0,0,0,1,0,0,0,2,2,3,3,4,2,3,8,8,9,9,4,1,.32800782,1.5087672,5,5,5,5,3,0
1272,0,1,8,0,0,3,4,3,1,0,2,0,3,0,1,3,3,3,0,0,3,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,11,3,12,0,0,,-.3123751,8,6,9,6,0,0
1273,0,1,8,0,0,2,4,3,1,1,2,1,3,1,2,3,1,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,11,18,12,0,0,,-.3123751,6,6,9,6,0,0
1274,1,1,8,0,0,3,2,3,3,2,0,3,0,0,2,3,2,2,0,0,3,3,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,6,10,10,0,0,,-.3123751,5,3,8,5,0,0
1275,0,2,8,1,1,3,0,2,0,0,2,0,2,0,0,2,2,2,0,0,2,0,2,0,0,2,2,,4,2,1,3,0,0,0,0,0,1,0,0,0,0,3,0,5,2,,2,3,4,0,0,0,1,0,0,0,2,4,3,3,3,3,3,2,8,2,8,0,1,.40463191,1.379168,6,4,6,4,0,1
1276,0,1,8,0,0,3,4,2,1,1,3,1,2,1,1,3,2,1,1,2,3,2,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,10,8,10,0,0,,-.3123751,7,5,4,6,0,0
1277,1,1,8,0,1,3,4,3,0,0,2,0,3,0,0,3,0,3,0,3,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,6,9,0,0,,-.3123751,5,6,6,6,0,0
1278,1,1,8,1,1,1,1,2,1,0,2,1,3,1,1,3,2,2,1,0,1,1,3,1,0,3,0,2,4,3,1,1,1,0,0,0,0,0,0,0,2,,1,4,,,3,4,,4,0,0,0,1,0,0,0,3,1,4,3,1,2,3,6,10,3,9,,3,.35176107,1.2314727,6,6,3,6,1,2
