"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA01","DINA",0.135,0.003,0.139,0.012,0.0094371047026049
"PMA02","DINA",0.06,0.001,0.138,0.005,0.00957277092106507
"PMA03","DINA",0.137,0.003,0.418,0.011,0.0438776060319544
"PMA04","DINA",0.415,0.005,0.25,0.013,0.0255787642938859
"PMA05","DINA",0.48,0.006,0.092,0.004,0.0196397231152296
"PMA06","DINA",0.44,0.005,0.198,0.011,0.0284527881095307
"PMA07","DINA",0.195,0.003,0.351,0.014,0.0528048009833161
"PMA08","DINA",0.554,0.006,0.019,0.001,0.0164207290315888
"PMB01","DINA",0.087,0.002,0.495,0.026,0.0200148772058616
"PMB03","DINA",0.324,0.006,0.112,0.003,0.0182599983859347
"PMB04","DINA",0.327,0.005,0.186,0.005,0.0117747771986105
"PMB05","DINA",0.274,0.004,0.113,0.004,0.00616770640986026
"PMB06","DINA",0.348,0.005,0.252,0.008,0.0260349650696392
"PMB07","DINA",0.335,0.004,0.145,0.009,0.0280547494467905
"PMB08","DINA",0.377,0.004,0.099,0.006,0.0273189799113236
"PMB09","DINA",0.367,0.004,0.116,0.007,0.024763187786405
