"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA01","DINA",0.135,0.003,0.135,0.011,0.0108654987791442
"PMA02","DINA",0.109,0.002,0.118,0.004,0.00901593275188871
"PMA03","DINA",0.136,0.003,0.418,0.01,0.0440820350359653
"PMA04","DINA",0.416,0.005,0.251,0.012,0.0260662370402678
"PMA05","DINA",0.481,0.006,0.091,0.004,0.0183992755015805
"PMA06","DINA",0.44,0.005,0.198,0.01,0.0294650066964378
"PMA07","DINA",0.22,0.003,0.348,0.014,0.0537142281027661
"PMA08","DINA",0.56,0.006,0.019,0.001,0.0155018396690444
"PMB01","DINA",0.087,0.002,0.49,0.02,0.0228503047326745
"PMB03","DINA",0.329,0.006,0.079,0.002,0.0165499931705995
"PMB04","DINA",0.336,0.005,0.028,0.001,0.012087128755228
"PMB05","DINA",0.202,0.003,0.12,0.004,0.00422881190146331
"PMB06","DINA",0.351,0.005,0.252,0.007,0.0270840034506303
"PMB07","DINA",0.336,0.004,0.144,0.008,0.0278051667733008
"PMB08","DINA",0.378,0.004,0.109,0.007,0.0275655156872935
"PMB09","DINA",0.367,0.004,0.116,0.007,0.0256955109228087
