"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA15","DINA",0.144,0.003,0.188,0.008,0.0200825214945971
"PMA16","DINA",0.232,0.004,0.147,0.009,0.0107358052206533
"PMA17","DINA",0.214,0.003,0.182,0.009,0.0394564958864366
"PMA18","DINA",0.256,0.004,0.338,0.012,0.0216418378456022
"PMA19","DINA",0.428,0.005,0.065,0.003,0.0379698566246396
"PMA20","DINA",0.223,0.004,0.315,0.008,0.0341141475331883
"PMA21","DINA",0.285,0.004,0.148,0.007,0.0321879856110709
"PMA22","DINA",0.393,0.004,0.001,0,0.0468592784572611
"PMA23","DINA",0.38,0.004,0.151,0.009,0.0588196545627639
"PMA24","DINA",0.347,0.004,0.139,0.008,0.0556151996302772
"PMA25","DINA",0.509,0.006,0.056,0.003,0.045444102793568
"PMB15","DINA",0.157,0.004,0.402,0.008,0.0399035104051593
"PMB16","DINA",0.204,0.004,0.379,0.011,0.0698076689216423
"PMB17","DINA",0.22,0.004,0.15,0.014,0.0156494675612637
"PMB18","DINA",0.248,0.004,0.477,0.012,0.03993588320957
"PMB19","DINA",0.196,0.003,0.256,0.012,0.053767996086872
"PMB20","DINA",0.19,0.004,0.375,0.009,0.0577816351690908
"PMB21","DINA",0.351,0.004,0.198,0.011,0.0492499469708316
"PMB22","DINA",0.24,0.004,0.291,0.012,0.042299003754558
"PMB23","DINA",0.296,0.004,0.314,0.011,0.0494282528885862
"PMB24","DINA",0.328,0.005,0.081,0.003,0.0256992764943175
"PMB25","DINA",0.268,0.006,0.07,0.002,0.0216177161961643
