"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA01","DINA",0.072,0.002,0.672,0.01,0.0454434440860018
"PMA02","DINA",0.217,0.003,0.464,0.016,0.0719718323900224
"PMA03","DINA",0.155,0.002,0.419,0.021,0.0298361501906932
"PMA04","DINA",0.349,0.005,0.28,0.009,0.0373985674639664
"PMA05","DINA",0.536,0.005,0.083,0.007,0.0364378671967254
"PMA06","DINA",0.3,0.004,0.207,0.01,0.0131740446305662
"PMA07","DINA",0.307,0.005,0.273,0.008,0.0167861561016164
"PMA08","DINA",0.618,0.004,0,0,0.0280347028091291
"PMB01","DINA",0.069,0.003,0.683,0.009,0.0146900209758088
"PMB03","DINA",0.334,0.005,0.254,0.007,0.0198991757678514
"PMB04","DINA",0.35,0.005,0.121,0.004,0.017442534346639
"PMB05","DINA",0.191,0.003,0.259,0.01,0.0129295362082127
"PMB06","DINA",0.327,0.004,0.27,0.009,0.0342260144968747
"PMB07","DINA",0.334,0.004,0.145,0.009,0.0166548022947468
"PMB08","DINA",0.379,0.004,0.114,0.006,0.0161010856760621
"PMB09","DINA",0.368,0.004,0.12,0.008,0.0149396410438048
