Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,facilidad,num_circulos_externos,tam_circulos_externos,tamano_central,senal,color,tipo,choice,Exito,outcome,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
0,311,n,True,1,0,False,0,True,1,False,0,False,0,1,3.256468058,1.755420923,1.604959011,pocos,3,under,1,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
1,74,s,True,2,0,True,1,False,1,False,0,False,0,6,2.754325867,1.253188849,1.703994989,pocos,3,over,2_o3,senal,azul,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
2,290,n,True,3,0,False,1,True,2,False,0,False,0,1,3.354681969,1.853574991,1.202986956,pocos,2,over,1,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
3,41,s,True,4,0,True,2,False,2,False,0,False,0,6,3.355312109,1.854636908,0.70192194,pocos,3,over,2_o3,senal,naranja,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
4,28,s,True,5,0,True,3,False,2,False,0,False,0,6,3.256108999,1.755046129,1.102711916,pocos,2,over,2_o2,senal,purpura,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
5,223,n,True,6,0,False,3,True,3,False,0,False,0,2,2.855702877,1.354662895,0.902465105,pocos,2,under,2.5,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1
6,149,s,True,7,0,True,4,False,3,False,0,False,0,6,3.356726885,1.855568886,1.202877045,pocos,3,under,2_u3,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
7,113,s,True,8,0,True,5,False,3,False,0,False,0,6,3.255855799,1.754715919,1.203027964,pocos,2,under,2_u2,senal,azul,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
8,273,n,True,9,0,False,5,True,4,False,0,False,0,1,2.353294849,0.852199793,0.601685047,pocos,3,under,1.5,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
9,598,n,True,10,0,False,5,True,5,False,0,False,0,1,2.354338884,0.853263855,1.703788996,muchos,8,under,1.5,ruido,purpura,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
10,280,n,True,11,0,False,5,True,6,False,0,False,0,1,2.754271984,1.253098965,0.902585983,pocos,3,under,1.5,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
11,505,n,True,12,0,False,5,True,7,False,0,False,0,2,2.543220043,1.042055845,0.701975822,muchos,7,under,3,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1
12,343,s,True,13,0,True,6,False,7,False,0,False,0,6,2.654150963,1.152970076,1.303575039,muchos,7,over,2_o2,senal,azul,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
13,219,n,True,14,0,False,6,True,8,False,0,False,0,2,3.958688021,2.457967997,0.701822996,pocos,3,over,2.5,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1
14,358,s,True,15,0,True,7,False,8,False,0,False,0,6,2.554845095,1.053701162,0.902282,muchos,7,over,2_o2,senal,purpura,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
15,117,s,True,16,0,True,8,False,8,False,0,False,0,6,2.655549049,1.154444933,0.802069902,pocos,2,under,2_u2,senal,purpura,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
16,534,n,True,17,0,False,8,True,9,False,0,False,0,2,3.858175993,2.356966972,0.601694107,muchos,8,over,2.5,ruido,azul,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1
17,307,n,True,18,0,False,8,True,10,False,0,False,0,1,3.25673604,1.755584002,0.802211046,pocos,2,under,1,ruido,purpura,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
18,147,s,True,19,0,True,9,False,10,False,0,False,0,6,2.755145073,1.253979921,1.203061104,pocos,3,under,2_u3,senal,purpura,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
19,369,s,True,20,0,True,10,False,10,False,0,False,0,6,2.654554129,1.153463125,0.501507998,muchos,8,over,2_o3,senal,guinda,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
20,567,n,True,21,0,False,10,True,11,False,0,False,0,1,2.25394392,0.752867937,0.702122927,muchos,7,over,1.5,ruido,purpura,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
21,479,s,True,22,0,True,11,False,11,False,0,False,0,6,2.754104137,1.253010988,1.002742052,muchos,8,under,2_u3,senal,guinda,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
22,371,s,True,23,0,True,12,False,11,False,0,False,0,6,2.25325489,0.752090931,0.60168004,muchos,8,over,2_o3,senal,naranja,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
23,325,s,True,24,0,True,13,False,11,False,0,False,0,6,2.954890966,1.453845978,0.701877117,muchos,7,over,2_o2,senal,verde,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
24,464,s,True,25,0,True,14,False,11,False,0,False,0,5,3.857223988,2.35613203,0.501208067,muchos,8,under,2_u3,senal,azul,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
25,375,s,True,26,0,True,15,False,11,False,0,False,0,6,2.754472971,1.253290892,0.501208067,muchos,8,over,2_o3,senal,verde,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
26,489,n,True,27,0,False,15,True,12,False,0,False,0,1,2.254398108,0.753524065,0.902340889,muchos,7,over,3,ruido,guinda,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
27,109,s,True,28,0,True,16,False,12,False,0,False,0,6,2.454421043,0.953330994,1.504625082,pocos,2,under,2_u2,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
28,51,s,True,29,0,True,17,False,12,False,0,False,0,6,2.454548121,0.953659058,0.601868868,pocos,3,over,2_o3,senal,naranja,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
29,94,s,True,30,0,True,18,False,12,False,0,False,0,6,2.152386904,0.651273012,0.801931143,pocos,2,under,2_u2,senal,azul,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
30,281,n,True,31,0,False,18,True,13,False,0,False,0,1,2.754520893,1.253463984,0.501280069,pocos,2,NA,1,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
31,573,n,True,32,0,False,18,True,14,False,0,False,0,1,2.053957939,0.553212881,0.701653957,muchos,8,over,1.5,ruido,azul,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
32,360,s,True,33,0,True,19,False,14,False,0,False,0,6,2.353189945,0.852107048,0.601799965,muchos,7,over,2_o2,senal,guinda,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
33,136,s,True,34,0,True,20,False,14,False,0,False,0,6,3.857263088,2.356110096,0.60157609,pocos,3,under,2_u3,senal,verde,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
34,566,n,True,35,0,False,20,True,15,False,0,False,0,1,2.354012012,0.852921963,0.701683998,muchos,7,over,1.5,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
35,261,n,True,36,0,False,20,True,16,False,0,False,0,1,2.955288172,1.454182148,0.701820135,pocos,2,under,1.5,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
36,161,n,True,37,0,False,20,True,17,False,0,False,0,1,2.153636217,0.653181076,0.601593018,pocos,2,over,3,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
37,474,s,True,38,0,True,21,False,17,False,0,False,0,6,2.151878834,0.650732994,0.601589918,muchos,8,under,2_u3,senal,azul,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
38,378,s,True,39,0,True,22,False,17,False,0,False,0,6,2.151747942,0.65056181,0.601407051,muchos,8,over,2_o3,senal,purpura,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
39,7,s,True,40,0,True,23,False,17,False,0,False,0,6,2.353433132,0.852245092,0.501332998,pocos,2,over,2_o2,senal,purpura,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
40,176,n,True,41,0,False,23,True,18,False,0,False,0,1,2.353979111,0.852925062,0.701642036,pocos,3,over,3,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
41,193,n,True,42,0,False,23,True,19,False,0,False,0,1,2.153072834,0.652702808,1.102737188,pocos,3,under,3,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
42,604,n,True,43,0,False,23,True,20,False,0,False,0,1,2.153666973,0.652577877,0.601611137,muchos,7,over,1,ruido,azul,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
43,335,s,True,44,0,True,24,False,20,False,0,False,0,6,4.057501078,2.556346178,0.701965094,muchos,7,over,2_o2,senal,verde,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
44,104,s,True,45,0,True,25,False,20,False,0,False,0,6,2.954295874,1.453368187,0.802018166,pocos,2,under,2_u2,senal,azul,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
45,282,n,True,46,0,False,25,True,21,False,0,False,0,1,2.152923822,0.651751995,0.702134132,pocos,2,over,1,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
46,494,n,True,47,0,False,25,True,22,False,0,False,0,1,2.052689075,0.551562071,0.701874971,muchos,8,over,3,ruido,azul,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
47,215,n,True,48,0,False,25,True,23,False,0,False,0,2,2.454617977,0.953523874,0.501497984,pocos,3,over,2.5,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1
48,121,s,True,49,0,True,26,False,23,False,0,False,0,6,2.151777983,0.650667191,1.202880144,pocos,3,under,2_u3,senal,naranja,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
49,191,n,True,50,0,False,26,True,24,False,0,False,0,1,2.65466404,1.153514147,0.701803923,pocos,3,under,3,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
50,354,s,True,51,0,True,27,False,24,False,0,False,0,6,2.655171871,1.154007912,1.203040838,muchos,7,over,2_o2,senal,azul,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
51,69,s,True,52,0,True,28,False,24,False,0,False,0,6,2.554422855,1.053310871,0.802100182,pocos,3,over,2_o3,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
52,424,s,True,53,0,True,29,False,24,False,0,False,0,6,2.188652992,0.687554836,1.102954149,muchos,7,under,2_u2,senal,azul,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
53,205,n,True,54,0,False,29,True,25,False,0,False,0,1,2.854562998,1.353492975,0.501486063,pocos,2,over,2.5,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
54,271,n,True,55,0,False,29,True,26,False,0,False,0,2,4.257070065,2.755925894,0.601436138,pocos,3,under,1.5,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1
55,341,s,True,56,0,True,30,False,26,False,0,False,0,6,1.952466011,0.451418161,0.802174091,muchos,7,over,2_o2,senal,naranja,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
56,377,s,True,57,0,True,31,False,26,False,0,False,0,6,2.35351181,0.852375984,0.701694012,muchos,8,over,2_o3,senal,purpura,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
57,294,n,True,58,0,False,31,True,27,False,0,False,0,1,2.153743982,0.65269804,0.702055931,pocos,3,over,1,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
58,478,s,True,59,0,True,32,False,27,False,0,False,0,6,2.554389,1.053807974,0.601562023,muchos,8,under,2_u3,senal,purpura,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
59,97,s,True,60,0,True,33,False,27,False,0,False,0,6,2.754210949,1.253149986,0.50142312,pocos,2,under,2_u2,senal,purpura,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
60,443,s,True,61,0,True,34,False,27,False,0,False,0,6,2.152911901,0.651840925,0.601603031,muchos,8,under,2_u3,senal,azul,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
61,458,s,True,62,0,True,35,False,27,False,0,False,0,6,3.155113935,1.654701948,0.701898098,muchos,8,under,2_u3,senal,purpura,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
62,392,s,True,63,0,True,36,False,27,False,0,False,0,6,2.153475046,0.652335167,0.501379013,muchos,8,over,2_o3,senal,naranja,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
63,259,n,True,64,0,False,36,True,28,False,0,False,0,1,1.952811003,0.451709986,0.701797962,pocos,3,over,1.5,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
64,432,s,True,65,0,True,37,False,28,False,0,False,0,6,2.038388014,0.537343025,0.501577139,muchos,7,under,2_u2,senal,naranja,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
65,516,n,True,66,0,False,37,True,29,False,0,False,0,1,2.254032135,0.752953053,0.601522923,muchos,8,under,3,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
66,460,s,True,67,0,True,38,False,29,False,0,False,0,6,2.654407978,1.153291941,1.705007076,muchos,8,under,2_u3,senal,guinda,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
67,40,s,True,68,0,True,39,False,29,False,0,False,0,6,2.754713058,1.253490925,0.501375914,pocos,2,over,2_o2,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
68,246,n,True,69,0,False,39,True,30,False,0,False,0,1,1.954133034,0.453069925,0.701760054,pocos,2,over,1.5,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
