Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,facilidad,num_circulos_externos,tam_circulos_externos,tamano_central,senal,color,tipo,choice,Exito,outcome,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
411,187,n,True,394,18,False,184,True,210,False,2,False,16,1,1.651002884,0.149844885,0.300868034,pocos,2,under,3,ruido,purpura,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
412,502,n,True,395,18,False,184,True,211,False,2,False,16,1,1.647237062,0.146152973,0.300907135,muchos,7,under,3,ruido,naranja,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
413,24,s,True,396,18,True,185,False,211,False,2,False,16,6,1.651676893,0.150593042,0.802061081,pocos,2,over,2_o2,senal,azul,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
414,98,s,True,397,18,True,186,False,211,False,2,False,16,6,1.952692986,0.451553822,0.501366854,pocos,2,under,2_u2,senal,purpura,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
415,324,s,True,398,18,True,187,False,211,False,2,False,16,6,1.652794123,0.152425051,0.200681925,muchos,7,over,2_o2,senal,azul,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
416,551,n,True,399,18,False,187,True,212,False,2,False,16,1,1.651958942,0.150884867,0.902465105,muchos,8,under,2.5,ruido,naranja,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
417,443,s,True,400,18,True,188,False,212,False,2,False,16,6,2.05180788,0.550462961,0.501779795,muchos,8,under,2_u3,senal,azul,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
418,313,n,True,401,18,False,188,True,213,False,2,False,16,1,1.652178049,0.151008844,0.300956964,pocos,3,under,1,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
419,498,n,True,402,18,False,188,True,214,False,2,False,16,1,1.652684927,0.151633978,0.300906897,muchos,8,over,3,ruido,purpura,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
420,439,s,True,403,18,True,189,False,214,False,2,False,16,6,1.838142872,0.336986065,1.10286212,muchos,7,under,2_u2,senal,guinda,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
