Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,facilidad,num_circulos_externos,tam_circulos_externos,tamano_central,senal,color,tipo,choice,Exito,outcome,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
0,510,n,True,1,0,False,0,True,1,False,0,False,0,1,1.847431898,0.346312046,6.115285873,muchos,7,under,3,ruido,guinda,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
1,209,n,True,2,0,False,0,True,2,False,0,False,0,1,5.560559988,4.059442997,2.305629969,pocos,2,over,2.5,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
2,304,n,True,3,0,False,0,True,3,False,0,False,0,1,2.55429697,1.05330205,0.802551985,pocos,2,under,1,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
3,363,s,True,4,0,True,1,False,3,False,0,False,0,6,2.955034971,1.453830004,1.504453182,muchos,8,over,2_o3,senal,azul,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
4,540,n,True,5,0,False,1,True,4,False,0,False,0,1,2.153209925,0.652038813,1.303775072,muchos,8,over,2.5,ruido,guinda,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
5,105,s,True,6,0,True,2,False,4,False,0,False,0,6,2.352269888,0.851103067,1.202996969,pocos,2,under,2_u2,senal,verde,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
6,218,n,True,7,0,False,2,True,5,False,0,False,0,1,2.253127098,0.751947165,0.501893044,pocos,3,over,2.5,ruido,purpura,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
7,213,n,True,8,0,False,2,True,6,False,0,False,0,1,2.055392027,0.55422616,0.902296066,pocos,3,over,2.5,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
8,85,s,True,9,0,True,3,False,6,False,0,False,0,5,3.155599833,1.654484987,1.102969885,pocos,2,under,2_u2,senal,verde,4 AS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
9,600,n,True,10,0,False,3,True,7,False,0,False,0,1,1.747364998,0.246228933,0.802327156,muchos,8,under,1.5,ruido,guinda,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
10,430,s,True,11,0,True,4,False,7,False,0,False,0,5,3.658039808,2.157209158,0.701849937,muchos,7,under,2_u2,senal,guinda,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
11,384,s,True,12,0,True,5,False,7,False,0,False,0,5,5.161099911,3.660007,1.002399921,muchos,8,over,2_o3,senal,azul,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
12,476,s,True,13,0,True,6,False,7,False,0,False,0,5,3.558984041,2.057914972,0.70191288,muchos,8,under,2_u3,senal,verde,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
13,508,n,True,14,0,False,6,True,8,False,0,False,0,1,2.053208828,0.55213809,0.802070141,muchos,7,under,3,ruido,purpura,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
14,293,n,True,15,0,False,6,True,9,False,0,False,0,1,1.651095867,0.150555134,0.701907158,pocos,3,over,1,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
15,292,n,True,16,0,False,6,True,10,False,0,False,0,1,1.652247906,0.151149035,0.702276945,pocos,3,over,1,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
16,114,s,True,17,0,True,7,False,10,False,0,False,0,6,2.755422831,1.254238844,1.202985048,pocos,2,under,2_u2,senal,azul,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
17,283,n,True,18,0,False,7,True,11,False,0,False,0,1,1.652114153,0.150967121,2.807725906,pocos,2,over,1,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
18,525,n,True,19,0,False,7,True,12,False,0,False,0,2,1.852020025,0.350790024,1.303529978,muchos,7,over,2.5,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1
19,435,s,True,20,0,True,8,False,12,False,0,False,0,5,3.656589985,2.155434132,0.802011967,muchos,7,under,2_u2,senal,verde,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
20,389,s,True,21,0,True,9,False,12,False,0,False,0,6,4.760020971,3.258885145,1.002557993,muchos,8,over,2_o3,senal,guinda,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
21,455,n,False,21,1,False,9,False,12,False,0,True,1,2,3.055504799,1.555248022,0.601477146,muchos,8,under,2_u3,senal,verde,3 BS,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0
22,4,s,True,22,1,True,10,False,12,False,0,False,1,6,2.153052092,0.651983023,1.403923988,pocos,2,over,2_o2,senal,azul,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
23,58,s,True,23,1,True,11,False,12,False,0,False,1,6,1.952427149,0.451308012,0.802114964,pocos,3,over,2_o3,senal,purpura,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
24,81,s,True,24,1,True,12,False,12,False,0,False,1,6,3.05615592,1.554992914,0.602021933,pocos,2,under,2_u2,senal,naranja,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
25,276,n,True,25,1,False,12,True,13,False,0,False,1,1,1.651118994,0.150054932,0.501322985,pocos,3,under,1.5,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
26,388,s,True,26,1,True,13,False,13,False,0,False,1,6,2.15348506,0.652442932,1.102708101,muchos,8,over,2_o3,senal,purpura,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
27,625,n,True,27,1,False,13,True,14,False,0,False,1,1,1.647228003,0.146090031,2.305663109,muchos,7,under,1,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
28,242,n,True,28,1,False,13,True,15,False,0,False,1,1,1.652587891,0.151494026,1.102775812,pocos,2,over,1.5,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
29,573,n,True,29,1,False,13,True,16,False,0,False,1,1,1.652613878,0.151329041,0.401136875,muchos,8,over,1.5,ruido,azul,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
30,328,s,True,30,1,True,14,False,16,False,0,False,1,6,1.651533127,0.150458097,0.702291012,muchos,7,over,2_o2,senal,purpura,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
31,270,n,True,31,1,False,14,True,17,False,0,False,1,1,1.65267992,0.151456118,0.802138805,pocos,2,under,1.5,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
32,186,n,True,32,1,False,14,True,18,False,0,False,1,1,1.650704145,0.14999795,0.200728893,pocos,2,under,3,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
33,408,s,True,33,1,True,15,False,18,False,0,False,1,5,2.248287916,0.747208834,0.701956034,muchos,7,under,2_u2,senal,purpura,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
34,169,n,True,34,1,False,15,True,19,False,0,False,1,1,1.652199984,0.151090145,0.501549006,pocos,2,over,3,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
35,545,n,True,35,1,False,15,True,20,False,0,False,1,2,2.642577887,1.141483068,0.701780081,muchos,7,under,2.5,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1
36,346,s,True,36,1,True,16,False,20,False,0,False,1,5,5.360785961,3.859699965,0.601790905,muchos,7,over,2_o2,senal,verde,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
37,443,s,True,37,1,True,17,False,20,False,0,False,1,6,2.840949059,1.339892864,0.601670027,muchos,8,under,2_u3,senal,azul,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
38,621,n,True,38,1,False,17,True,21,False,0,False,1,1,1.639929771,0.138833046,0.100400209,muchos,7,under,1,ruido,naranja,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
39,432,s,True,39,1,True,18,False,21,False,0,False,1,5,1.853121996,0.352031946,0.401010036,muchos,7,under,2_u2,senal,naranja,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
40,240,n,True,40,1,False,18,True,22,False,0,False,1,1,1.652308941,0.151076078,1.002443075,pocos,3,under,2.5,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
41,245,n,True,41,1,False,18,True,23,False,0,False,1,1,1.651546955,0.151309013,0.601593018,pocos,2,over,1.5,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
42,463,n,False,41,2,False,18,False,23,False,0,True,2,2,2.553772211,1.052670956,0.401685953,muchos,8,under,2_u3,senal,azul,3 BS,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0
43,10,s,True,42,2,True,19,False,23,False,0,False,2,6,1.952826977,0.45167613,0.701730967,pocos,2,over,2_o2,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
44,345,s,True,43,2,True,20,False,23,False,0,False,2,6,2.855107069,1.354878902,0.802529812,muchos,7,over,2_o2,senal,verde,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
45,407,s,True,44,2,True,21,False,23,False,0,False,2,5,3.656965971,2.155768156,1.704180002,muchos,7,under,2_u2,senal,purpura,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
46,614,n,True,45,2,False,21,True,24,False,0,False,2,1,1.651538134,0.150328159,0.10036397,muchos,8,over,1,ruido,azul,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
47,289,n,True,46,2,False,21,True,25,False,0,False,2,1,1.651842117,0.150655031,0.300793171,pocos,2,over,1,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
48,512,n,True,47,2,False,21,True,26,False,0,False,2,1,2.45262289,0.952308893,0.501390934,muchos,8,under,3,ruido,naranja,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
49,635,n,True,48,2,False,21,True,27,False,0,False,2,1,1.65099597,0.150392056,0.100517988,muchos,8,under,1,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
50,536,n,True,49,2,False,21,True,28,False,0,False,2,1,2.052848816,0.551775217,0.701839924,muchos,8,over,2.5,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
51,66,s,True,50,2,True,22,False,28,False,0,False,2,6,1.852108955,0.350894928,0.40107584,pocos,3,over,2_o3,senal,verde,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
52,627,n,True,51,2,False,22,True,29,False,0,False,2,1,1.702248096,0.201148987,0.200867176,muchos,7,under,1,ruido,purpura,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
53,155,s,True,52,2,True,23,False,29,False,0,False,2,6,2.453613997,0.95245409,2.506190062,pocos,3,under,2_u3,senal,verde,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
54,552,s,False,52,3,False,23,False,29,True,1,False,2,6,1.938719988,0.437612057,0.401584148,muchos,8,under,2.5,ruido,naranja,2 BN,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
55,251,n,True,53,3,False,23,True,30,False,1,False,2,1,1.652163029,0.151098967,0.10039711,pocos,3,over,1.5,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
56,489,n,True,54,3,False,23,True,31,False,1,False,2,1,1.652037859,0.151584148,0.30087781,muchos,7,over,3,ruido,guinda,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
57,360,s,True,55,3,True,24,False,31,False,1,False,2,6,1.952481031,0.451285124,0.602418184,muchos,7,over,2_o2,senal,guinda,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
58,17,s,True,56,3,True,25,False,31,False,1,False,2,6,1.951320171,0.450182199,0.4011271,pocos,2,over,2_o2,senal,purpura,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
59,101,s,True,57,3,True,26,False,31,False,1,False,2,5,2.554255009,1.053083897,0.40121603,pocos,2,under,2_u2,senal,naranja,4 AS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
60,396,s,True,58,3,True,27,False,31,False,1,False,2,5,1.752704859,0.251621008,0.701702833,muchos,8,over,2_o3,senal,verde,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
61,571,n,True,59,3,False,27,True,32,False,1,False,2,1,1.852144003,0.350970984,0.601560116,muchos,8,over,1.5,ruido,naranja,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
62,134,s,True,60,3,True,28,False,32,False,1,False,2,6,2.754926205,1.253757,0.300790071,pocos,3,under,2_u3,senal,azul,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
63,84,s,True,61,3,True,29,False,32,False,1,False,2,6,2.856832027,1.355658054,0.401713133,pocos,2,under,2_u2,senal,azul,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
64,316,n,True,62,3,False,29,True,33,False,1,False,2,1,1.651980877,0.150862932,0.300813913,pocos,3,under,1,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
65,511,n,True,63,3,False,29,True,34,False,1,False,2,1,2.841322899,1.340200901,0.40121007,muchos,8,under,3,ruido,naranja,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
66,352,s,True,64,3,True,30,False,34,False,1,False,2,6,1.953220844,0.451982021,0.401254892,muchos,7,over,2_o2,senal,naranja,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
67,174,n,True,65,3,False,30,True,35,False,1,False,2,1,1.651603937,0.150512934,0.60149312,pocos,3,over,3,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
