sujeto,grupo,condición ,dia ,hit,fa,miss,rechazo,ensayos_cortos,ensayos_largo
6,1v4,LB,1,13,2,1,10,14,12
6,1v4,LB,2,21,5,7,24,28,29
6,1v4,LB,3,24,2,8,29,32,31
6,1v4,LB,4,20,4,5,26,25,30
6,1v4,LB,5,33,6,8,38,41,44
6,1v4,LB,6,23,4,3,19,26,23
6,1v4,LB,7,40,2,7,46,47,48
6,1v4,LB,8,23,1,9,35,32,36
6,1v4,LB,9,22,3,9,29,31,32
6,1v4,LB,10,19,1,10,34,29,35
6,1v4,PRE ,1,35,6,5,31,40,37
6,1v4,PRE ,2,42,6,5,43,47,49
6,1v4,PRE ,3,21,3,5,23,26,26
6,1v4,PRE ,4,34,4,4,38,38,42
6,1v4,PRE ,5,26,2,1,28,27,30
6,1v4,PRE ,6,45,8,3,31,48,39
6,1v4,PRE ,7,30,6,3,20,33,26
6,1v4,PRE ,8,23,1,1,23,24,24
6,1v4,PRE ,9,29,4,5,36,34,40
6,1v4,PRE ,10,35,3,3,32,38,35
6,2v8,LB,1,36,3,1,34,37,37
6,2v8,LB,2,34,0,0,28,34,28
6,2v8,LB,3,20,3,3,17,23,20
6,2v8,LB,4,42,0,1,33,43,33
6,2v8,LB,5,36,0,1,35,37,35
6,2v8,LB,6,32,2,0,27,32,29
6,2v8,LB,7,40,14,4,33,44,47
6,2v8,LB,8,36,1,1,43,37,44
6,2v8,LB,9,41,3,2,42,43,45
6,2v8,LB,10,35,3,1,32,37,35
6,2v8,PRE ,1,26,5,3,32,29,37
6,2v8,PRE ,2,28,1,1,29,29,30
6,2v8,PRE ,3,24,1,2,23,26,24
6,2v8,PRE ,4,29,4,5,33,34,37
6,2v8,PRE ,5,36,5,5,30,41,35
6,2v8,PRE ,6,30,2,4,31,34,33
6,2v8,PRE ,7,44,1,6,41,50,42
6,2v8,PRE ,8,31,4,2,28,33,32
6,2v8,PRE ,9,26,2,3,32,29,34
6,2v8,PRE ,10,37,1,5,34,42,35
7,1v4,LB,1,44,9,1,39,45,48
7,1v4,LB,2,34,7,6,30,40,37
7,1v4,LB,3,30,3,6,41,36,44
7,1v4,LB,4,22,3,0,26,22,29
7,1v4,LB,5,35,2,2,37,37,39
7,1v4,LB,6,42,3,3,42,46,45
7,1v4,LB,7,45,3,0,39,45,42
7,1v4,LB,8,47,4,1,37,48,41
7,1v4,LB,9,31,1,1,29,32,30
7,1v4,LB,10,37,1,3,44,40,45
7,1v4,PRE ,1,30,2,1,31,31,33
7,1v4,PRE ,2,54,4,2,42,56,46
7,1v4,PRE ,3,42,1,2,42,44,43
7,1v4,PRE ,4,29,2,3,28,32,30
7,1v4,PRE ,5,32,3,1,34,33,37
7,1v4,PRE ,6,38,0,1,34,39,34
7,1v4,PRE ,7,40,3,3,50,43,53
7,1v4,PRE ,8,36,2,2,42,38,44
7,1v4,PRE ,9,32,0,0,36,32,36
7,1v4,PRE ,10,39,1,3,43,42,45
